"Concept","Cluster"
"Municipal Waste Management","Aptitude"
"Swadeshi Literature","Sci & Tech"
"Qubit","Sci & Tech"
"Fixed-term Employment","Economy"
"US-EU Trade and Technology Council","Economy"
"Vernal Window & Ecosystems","Aptitude"
"Early Medieval Dynasties",""
"Social Contract & General Will","Aptitude"
"India?s Regional Trade","Polity"
"15th Finance Commission Recommendations","Economy"
"Pulse Crops in India",""
"Sustainable Development & Energy Transition","Aptitude"
"Equality & Democracy","Aptitude"
"Fungus-Farming Insects","Sci & Tech"
"Niger Seed Cultivation",""
"Religious Freedom & State Regulation","Aptitude"
"Rights and Duties","Aptitude"
"Home Rule League","History"
"Hepatitis Viruses",""
"Union Budget Procedure","Polity"
"Education Equity","Aptitude"
"Polar Code","Geography"
"Convertible Bonds",""
"Antibiotic Resistance & Livestock","Aptitude"
"PM-SYM Scheme","Sci & Tech"
"Traditional Performing Arts",""
"Blockchain Technology","Sci & Tech"
"Indigo Cultivation Decline",""
"Mitochondrial Replacement Therapy","Geography"
"Lokpal Provisions","Polity"
"Climate Policy & Uncertainty","Aptitude"
"UN-Habitat","Environment"
"Balance of Trade & Current Account","Economy"
"Right to Education",""
"Climate Types","Geography"
"Global Governance Indices","Economy"
"Fanam","History"
"E-commerce FDI Rules",""
"Intangible Assets","Sci & Tech"
"Capital-Output Ratio","Economy"
"Red Sea Characteristics","Geography"
"Democracy & Education","Aptitude"
"Biodiversity & Climate Adaptation","Aptitude"
"Money Bill","Polity"
"Capital Budget","Economy"
"GM Technology & IPR","Aptitude"
"Flood & Drought Management","Aptitude"
"Green Hydrogen for Heavy Industry","History"
"Employment & Structural Transformation","Aptitude"
"Land Reforms","Sci & Tech"
"Pollination Ecology","Aptitude"
"Atmospheric Dust Distribution","Polity"
"Tidal Phenomena","Geography"
"Legal Services Authorities Act",""
"Wildlife Corridors & Conservation","Aptitude"
"Democratic Decentralization","Polity"
"Indian Dynasties & Kings","History"
"Indian Reservoirs","Sci & Tech"
"Historical Injustice & Social Discrimination","Aptitude"
"Environmental Toxicology","Aptitude"
"Foreign Direct Investment",""
"Poetry and Truth","Aptitude"
"Agrobiodiversity Loss","Aptitude"
"Refugee Settlements in Kenya",""
"Global Food Security","Aptitude"
"Fig-fig Wasp Mutualism",""
"Asian Infrastructure Investment Bank","Economy"
"Cloud Radiative Effects",""
"Directive Principles","Polity"
"RTGs in Spacecraft","Sci & Tech"
"Judicial Impeachment Process","Polity"
"Classical Sanskrit Scholars","History"
"Democracy & Administrative Competence","Aptitude"
"Central Ground Water Authority","Environment"
"Manual Scavenging Rehabilitation","Sci & Tech"
"US Sovereign Debt","Sci & Tech"
"Science & Philosophy","Aptitude"
"Indian Laws & Offences","Sci & Tech"
"Ashokan Inscriptions","History"
"Sun Temples in India",""
"Right to Education & Quality","Aptitude"
"Cocoa Producers",""
"Nitrogen Use Efficiency","Aptitude"
"Boards & Ministries","Economy"
"UNOPS S3i Investments","Sci & Tech"
"Union vs State Subjects","Polity"
"Real Sector of Economy","Sci & Tech"
"Agricultural Transformation & Poverty Reduction","Aptitude"
"IMF Reserve Tranche","Economy"
"Opinions & Success","Aptitude"
"Metaverse Concept",""
"Human Capital Formation","Economy"
"RBI Income Sources","Economy"
"Biodiversity Loss","Environment"
"Banks Board Bureau","Economy"
"Social Welfare",""
"Preamble Legal Status","Polity"
"Physical Capital Types","Sci & Tech"
"Astronomy Objects","Sci & Tech"
"Historical Lessons for Leadership","Aptitude"
"Vidyanjali Scheme","Economy"
"Bioenergy Sustainability","Aptitude"
"Aadhaar Act","Sci & Tech"
"Rule of Law Index",""
"Climate Change Adaptation","Aptitude"
"Political Parties & Leaders","Sci & Tech"
"Jain Philosophy","History"
"WTO Trade Facilitation Agreement","Economy"
"Banking Technology","Economy"
"Casual Workers & Labour Laws","Geography"
"Wildlife Protection Act Schedule VI","Environment"
"Tuberculosis & Social Determinants","Aptitude"
"Cripps Mission Proposals",""
"Sanskrit & Jain Literature","History"
"Climate-Smart Agriculture","Environment"
"IBRD Role","Economy"
"Industrial Relations Legislation","History"
"Swadeshi Movement","History"
"Delhi Sultanate Revenue Administration","History"
"Wildlife Corridors","Environment"
"Money Bill vs Finance Bill","Polity"
"Water Vapour Distribution",""
"Domestic Content Requirement",""
"Ashokan Rock Edicts","Sci & Tech"
"Wet-Bulb Temperature Impacts","Economy"
"Fiscal-Monetary Policy Interaction","Aptitude"
"Non-Financial Debt",""
"Crop Diversity & Food Security","Aptitude"
"Indian Forest Act","Polity"
"Solar Storm Impacts",""
"Rashtriya Gokul Mission",""
"Flag Code of India",""
"Miyawaki Method","Geography"
"Constitution Amendment","Polity"
"Indian Elephant Biology & Conservation",""
"Indian Patents Act",""
"Patents & Access","Aptitude"
"Judicial Review","Polity"
"Extremophiles","Environment"
"RBI Governance","Geography"
"Nature Solutions Finance Hub","Economy"
"Currency Crisis Risk","Economy"
"State-Level Climate Action","Aptitude"
"Kishangarh School of Painting",""
"Space-based Gravitational Wave Astronomy","Sci & Tech"
"Money Supply Measures","Economy"
"Currency Management","Economy"
"Columbian Exchange Crops",""
"WTO TRIMs Agreement","Economy"
"CAMPA",""
"Gravitational Waves",""
"Primary Deficit Calculation","Economy"
"Industrial Farming & Sustainability","Aptitude"
"Consumerism & Environmental Sustainability","Aptitude"
"European Travellers in India","History"
"Dalit Movement Publications",""
"Internal Security & Preventive Detention","Polity"
"External Debt","Economy"
"Economic Insecurity & Inequality","Aptitude"
"Missile Defense Systems",""
"Methane Hydrates","Environment"
"Rajya Sabha Powers","Polity"
"Insect Classification",""
"Legal Tender","Economy"
"Coal Gasification Products",""
"Fertigation","Sci & Tech"
"Agricultural Emissions",""
"Nitric Oxide Physiology",""
"President Election & Powers","Polity"
"Vietnam Economy",""
"Nari Shakti Vandan Adhiniyam","Geography"
"Small Farmer Large Field Model",""
"Media & Democratic Accountability","Aptitude"
"Political Development & Group Identity","Aptitude"
"Time, Speed & Distance","Aptitude"
"Cooperative Banking Structure","Economy"
"Economic Progress & Leisure","Aptitude"
"Governance & Citizenship","Aptitude"
"Gandhism and Marxism",""
"Governor Discretion & Bills","Polity"
"Constitution Parts","Polity"
"EU Stability and Growth Pact","Economy"
"Portuguese Fort at Bhatkal","History"
"Energy Transition & Renewables","Aptitude"
"UNESCO World Heritage 2023",""
"10th Schedule Disqualification","Polity"
"Science and Society","Aptitude"
"Community Reserve","Environment"
"Soil Health Card Scheme","Geography"
"Money Multiplier","Economy"
"Anaemia Mukt Bharat","Sci & Tech"
"Capital Flight & ECBs",""
"Senkaku Islands Dispute","Geography"
"GDP Growth & Development","Aptitude"
"Environment & Health Behavior","Aptitude"
"National Handloom Day",""
"Chess Olympiad 2022",""
