"source","target","weight","edge_type"
"Letter Substitution","Logical Deduction (Constraint System)","1","cooccurrence"
"Letter-Number Mapping","Logical Deduction (Constraint System)","1","cooccurrence"
"Lifestyle Habits","Obesity & Dieting","1","cooccurrence"
"Limits of Science","Science & Faith","1","cooccurrence"
"Limits of Science","Spirituality","1","cooccurrence"
"Line Graph","Logical Deduction (Constraint System)","1","cooccurrence"
"Line Graph","Schedule vs Actual","1","cooccurrence"
"Line Graph","Work Progress","1","cooccurrence"
"Linear Equations","Logical Deduction (Constraint System)","4","cooccurrence"
"Linear Equations","Sign Analysis","1","cooccurrence"
"Linear Expression","Logical Deduction (Constraint System)","1","cooccurrence"
"Linear Expression","Total Sales","1","cooccurrence"
"Logic Games","Ordering Constraints","1","cooccurrence"
"Logic Games","Set Constraints","1","cooccurrence"
"Logic Grid","Logic Puzzles","9","cooccurrence"
"Logic Puzzle","Position Constraints","2","cooccurrence"
"Logic Puzzle","Seating Arrangement","2","cooccurrence"
"Logic Puzzles","Set Relations","1","cooccurrence"
"Logical Deduction","Logical Deduction (Constraint System)","1","cooccurrence"
"Logical Deduction (Constraint System)","Marks","1","cooccurrence"
"Logical Deduction (Constraint System)","Max Area","1","cooccurrence"
"Logical Deduction (Constraint System)","Mean Calculation","1","cooccurrence"
"Logical Deduction (Constraint System)","Mean of Consecutive Numbers","1","cooccurrence"
"Logical Deduction (Constraint System)","Mean-Median-Mode","1","cooccurrence"
"Logical Deduction (Constraint System)","Middle Term","1","cooccurrence"
"Logical Deduction (Constraint System)","Minimum Draws","1","cooccurrence"
"Logical Deduction (Constraint System)","Missing Digits","1","cooccurrence"
"Logical Deduction (Constraint System)","Number Formation","1","cooccurrence"
"Logical Deduction (Constraint System)","Number Line","1","cooccurrence"
"Logical Deduction (Constraint System)","Number Properties","1","cooccurrence"
"Logical Deduction (Constraint System)","Number Series","1","cooccurrence"
"Logical Deduction (Constraint System)","Numbering","1","cooccurrence"
"Logical Deduction (Constraint System)","Numbers","1","cooccurrence"
"Logical Deduction (Constraint System)","Opposite Faces","3","cooccurrence"
"Logical Deduction (Constraint System)","Optimization","1","cooccurrence"
"Logical Deduction (Constraint System)","Ordering","5","cooccurrence"
"Logical Deduction (Constraint System)","Page Numbers","1","cooccurrence"
"Logical Deduction (Constraint System)","Painted Cubes","2","cooccurrence"
"Logical Deduction (Constraint System)","Pattern Recognition","2","cooccurrence"
"Logical Deduction (Constraint System)","Percent Decrease","1","cooccurrence"
"Logical Deduction (Constraint System)","Percent Increase","1","cooccurrence"
"Logical Deduction (Constraint System)","Percent of Total","1","cooccurrence"
"Logical Deduction (Constraint System)","Percent Shortfall","1","cooccurrence"
"Logical Deduction (Constraint System)","Percentage Calculation","1","cooccurrence"
"Logical Deduction (Constraint System)","Percentage Change","1","cooccurrence"
"Logical Deduction (Constraint System)","Percentage Profit/Loss","1","cooccurrence"
"Logical Deduction (Constraint System)","Perfect Cubes","1","cooccurrence"
"Logical Deduction (Constraint System)","Perfect Squares","1","cooccurrence"
"Logical Deduction (Constraint System)","Periodicity","1","cooccurrence"
"Logical Deduction (Constraint System)","Pigeonhole Principle","1","cooccurrence"
"Logical Deduction (Constraint System)","Place Value","1","cooccurrence"
"Logical Deduction (Constraint System)","Profit","1","cooccurrence"
"Logical Deduction (Constraint System)","Pythagoras","1","cooccurrence"
"Logical Deduction (Constraint System)","Race","1","cooccurrence"
"Logical Deduction (Constraint System)","Ranking","1","cooccurrence"
"Logical Deduction (Constraint System)","Ratio","7","cooccurrence"
"Logical Deduction (Constraint System)","Ratio of Wages","1","cooccurrence"
"Logical Deduction (Constraint System)","Ratios","3","cooccurrence"
"Logical Deduction (Constraint System)","Relative Speed","3","cooccurrence"
"Logical Deduction (Constraint System)","Remainders","1","cooccurrence"
"Logical Deduction (Constraint System)","Restrictions","1","cooccurrence"
"Logical Deduction (Constraint System)","Reversal of Digits","1","cooccurrence"
"Logical Deduction (Constraint System)","Reverse Transactions","1","cooccurrence"
"Logical Deduction (Constraint System)","Right-Angled Triangles","1","cooccurrence"
"Logical Deduction (Constraint System)","Savings","1","cooccurrence"
"Logical Deduction (Constraint System)","Schedule vs Actual","1","cooccurrence"
"Logical Deduction (Constraint System)","Scheduling","1","cooccurrence"
"Logical Deduction (Constraint System)","Sequence","2","cooccurrence"
"Logical Deduction (Constraint System)","Sign Analysis","1","cooccurrence"
"Logical Deduction (Constraint System)","Skewness","1","cooccurrence"
"Logical Deduction (Constraint System)","Squares","2","cooccurrence"
"Logical Deduction (Constraint System)","Time & Work","1","cooccurrence"
"Logical Deduction (Constraint System)","Time Difference","2","cooccurrence"
"Logical Deduction (Constraint System)","Time Intervals","1","cooccurrence"
"Logical Deduction (Constraint System)","Time Measurement","1","cooccurrence"
"Logical Deduction (Constraint System)","Time-Distance","1","cooccurrence"
"Logical Deduction (Constraint System)","Total Sales","1","cooccurrence"
"Logical Deduction (Constraint System)","Train","1","cooccurrence"
"Logical Deduction (Constraint System)","Transitivity","1","cooccurrence"
"Logical Deduction (Constraint System)","Unit Cost","1","cooccurrence"
"Logical Deduction (Constraint System)","Value Calculation","1","cooccurrence"
"Logical Deduction (Constraint System)","Venn Diagram","1","cooccurrence"
"Logical Deduction (Constraint System)","Volume","1","cooccurrence"
"Logical Deduction (Constraint System)","Weekday Counting","1","cooccurrence"
"Logical Deduction (Constraint System)","Weighted Average","3","cooccurrence"
"Logical Deduction (Constraint System)","Weighted Outcomes","1","cooccurrence"
"Logical Deduction (Constraint System)","Word Problems","1","cooccurrence"
"Logical Deduction (Constraint System)","Work Progress","1","cooccurrence"
"Logical Deduction (Constraint System)","Work Rates","3","cooccurrence"
"Logical Deductions","Set Relations","1","cooccurrence"
"Logical Deductions","Venn Diagram","1","cooccurrence"
"Logical Inference","Statement & Conclusion","1","cooccurrence"
"Logical Sequence","Pattern Recognition","1","cooccurrence"
"Logical Statements","Syllogism","1","cooccurrence"
"Logical Statements","Valid Conclusions","1","cooccurrence"
"Logical Validity","Statement & Conclusion","1","cooccurrence"
"Manual Scavenging","Sanitation Policy","1","cooccurrence"
"Manual Scavenging","Urban Sanitation & Public Health","1","cooccurrence"
"Manufacturing Upgradation","Productivity Growth","1","cooccurrence"
"Market Distortions","Oligarchies","1","cooccurrence"
"Marks","Percent Decrease","1","cooccurrence"
"Maximum Marks","Percent of Total","1","cooccurrence"
"Mean Calculation","Weighted Average","1","cooccurrence"
"Mean-Median-Mode","Skewness","1","cooccurrence"
"Measurement Issues","National Income Accounting","1","cooccurrence"
"Measurement Issues","Non-Commercial Sector","1","cooccurrence"
"Middle Term","Number Series","1","cooccurrence"
"Middle-Income Trap","Productivity Growth","1","cooccurrence"
"Minimum Draws","Pigeonhole Principle","1","cooccurrence"
"MSP Subsidies","WTO Agriculture","1","cooccurrence"
"National Income Accounting","Non-Commercial Sector","1","cooccurrence"
"National Integration & Civic Responsibility","Social Cohesion","1","cooccurrence"
"Negative Emissions","Sustainable Biofuels","1","cooccurrence"
"Open Defecation","Purity-Pollution Norms","1","cooccurrence"
"Open Defecation","Sanitation Behavior","1","cooccurrence"
"Optimization","Time & Work","1","cooccurrence"
"Order","Ranking & Inequalities","1","cooccurrence"
"Ordering","Position Constraints","1","cooccurrence"
"Ordering","Relative Position","1","cooccurrence"
"Ordering","Seating Arrangement","1","cooccurrence"
"Ordering","Transitivity","1","cooccurrence"
"Overtaking","Time-Distance","1","cooccurrence"
"Participatory Planning","Urban Planning & Inclusion","1","cooccurrence"
"Participatory Planning","Urban Poor","1","cooccurrence"
"Per Capita Income","Socioeconomic","1","cooccurrence"
"Per Capita Income","Tele-density","1","cooccurrence"
"Percent Increase","Ratios","1","cooccurrence"
"Percent Overlap","Venn Diagram","1","cooccurrence"
"Percentage","Weighted Average","1","cooccurrence"
"Percentage Change","Reverse Transactions","1","cooccurrence"
"Perfect Cubes","Perfect Squares","1","cooccurrence"
"Perseverance","Resolution","1","cooccurrence"
"Polar Governance","Resource Competition","1","cooccurrence"
"Political Conflict","Resource Scarcity","1","cooccurrence"
"Political Conflict","Water Conflicts","1","cooccurrence"
"Political Development & Group Identity","Social Cleavages","1","cooccurrence"
"Political Development & Group Identity","Traditional vs Modern Identities","1","cooccurrence"
"Political Economy","Politics-Economics Interdependence","1","cooccurrence"
"Popular Sovereignty","Rousseau","1","cooccurrence"
"Popular Sovereignty","Social Contract","1","cooccurrence"
"Popular Sovereignty","Social Contract & General Will","1","cooccurrence"
"Population","Trend Analysis","2","cooccurrence"
"Position Constraints","Seating Arrangement","3","cooccurrence"
"Poverty","Stigma","1","cooccurrence"
"Poverty","Tuberculosis & Social Determinants","1","cooccurrence"
"Productive Employment & Inclusion","Structural Transformation","1","cooccurrence"
"Purity-Pollution Norms","Sanitation Behavior","1","cooccurrence"
"Ranking","Ratio","1","cooccurrence"
"Rates","Relative Progress","1","cooccurrence"
"Rates","with Slippage","1","cooccurrence"
"Rates of Change","Slope","1","cooccurrence"
"Ratio","Replacement","1","cooccurrence"
"Ratio","Weighted Average","1","cooccurrence"
"Ratio of Wages","Work Rates","1","cooccurrence"
"Ratios","Reversal of Digits","1","cooccurrence"
"Regulation & Economic Growth","Regulatory Policy","2","cooccurrence"
"Relative Progress","with Slippage","1","cooccurrence"
"Relative Speed","Time-Distance","1","cooccurrence"
"Relative Speed","Train","1","cooccurrence"
"Resource Scarcity","Water Conflicts","1","cooccurrence"
"Resource Use","Sustainable Diets & Resources","1","cooccurrence"
"Right to Education & Quality","Universal Access","5","cooccurrence"
"Rousseau","Social Contract & General Will","1","cooccurrence"
"Sanitation Policy","Urban Sanitation & Public Health","1","cooccurrence"
"Schedule vs Actual","Work Progress","1","cooccurrence"
"Scheduling","Time Intervals","1","cooccurrence"
"Scheduling","Time-Distance","1","cooccurrence"
"Science & Faith","Spirituality","1","cooccurrence"
"Science & Human Progress","Scientific Knowledge","1","cooccurrence"
"Science & Human Progress","Social Progress","1","cooccurrence"
"Scientific Knowledge","Social Progress","1","cooccurrence"
"Sequence","Squares","1","cooccurrence"
"Social Cleavages","Traditional vs Modern Identities","1","cooccurrence"
"Social Cooperation","Social Nature of Man","1","cooccurrence"
"Social Discrimination","Untouchability","2","cooccurrence"
"Socioeconomic","Telecom Infrastructure","1","cooccurrence"
"Socioeconomic","Tele-density","1","cooccurrence"
"Soil Degradation","Soil Erosion & Food Security","1","cooccurrence"
"Statement Conclusions","Syllogism","1","cooccurrence"
"Stigma","Tuberculosis & Social Determinants","1","cooccurrence"
"Syllogism","Valid Conclusions","1","cooccurrence"
"Tax Revenue","Trend Analysis","1","cooccurrence"
"Time-Distance","Train","1","cooccurrence"
"Unit Cost","Value Calculation","1","cooccurrence"
"Urban Planning & Inclusion","Urban Poor","1","cooccurrence"
"Work & Leisure","Work Ethic","1","cooccurrence"
"Adult-Child Equivalence","Linear Ratio","1","primary_to_related"
"Agriculture Dependence & Demography","Agricultural Employment","1","primary_to_related"
"Agriculture Dependence & Demography","Population Growth","1","primary_to_related"
"Agro-biodiversity & Food Security","Green Revolution","1","primary_to_related"
"Agro-biodiversity & Food Security","Monocropping","1","primary_to_related"
"Agrobiodiversity Loss","Crop Diversity","1","primary_to_related"
"Agrobiodiversity Loss","Food Security","1","primary_to_related"
"Air Pollution & AQI","Air Quality Index","1","primary_to_related"
"Air Pollution & AQI","Health Impacts of Air Pollution","1","primary_to_related"
"Antarctic Climate Change","Glacier Melt","1","primary_to_related"
"Antarctic Climate Change","Marine Biodiversity","1","primary_to_related"
"Arctic Geopolitics & Resources","Polar Governance","1","primary_to_related"
"Arctic Geopolitics & Resources","Resource Competition","1","primary_to_related"
"Area Probability","Circles","1","primary_to_related"
"Big Data & Digital Sovereignty","Data Monopoly","2","primary_to_related"
"Big Data & Digital Sovereignty","Digital Trade","2","primary_to_related"
"Biodiversity & Climate Adaptation","Ecosystem Resilience","2","primary_to_related"
"Biodiversity & Climate Adaptation","Genetic Diversity","2","primary_to_related"
"Biodiversity & Hydrological Cycle","Ecosystem Services","1","primary_to_related"
"Biodiversity & Hydrological Cycle","Water Cycle","1","primary_to_related"
"Bioenergy Sustainability","Biomass Energy","2","primary_to_related"
"Bioenergy Sustainability","Biomass Limits","1","primary_to_related"
"Bioenergy Sustainability","Climate-Energy Models","1","primary_to_related"
"Bioenergy Sustainability","Food Security","1","primary_to_related"
"Bioenergy Sustainability","Food vs Fuel","1","primary_to_related"
"Bioenergy Sustainability","Negative Emissions","1","primary_to_related"
"Bioenergy Sustainability","Sustainable Biofuels","1","primary_to_related"
"Birth Rate","Death Rate","1","primary_to_related"
"Birth Rate","Migration","1","primary_to_related"
"Blood Relations","Family Tree","1","primary_to_related"
"Blood Relations","Logical Deductions","1","primary_to_related"
"Botanical Pesticides & Sustainable Agriculture","Ecological Balance","1","primary_to_related"
"Botanical Pesticides & Sustainable Agriculture","Synthetic Pesticides","1","primary_to_related"
"Carbon Cycle & Soil Carbon","CO2 Feedbacks","1","primary_to_related"
"Carbon Cycle & Soil Carbon","Soil Carbon","1","primary_to_related"
"Circular Motion","Circular","1","primary_to_related"
"Circular Motion","Relative Speed","1","primary_to_related"
"Civic Participation & Voting Duty","Electoral Responsibility","1","primary_to_related"
"Civic Participation & Voting Duty","Political Participation","1","primary_to_related"
"Climate Adaptation & Food Security","Agricultural Extension","1","primary_to_related"
"Climate Adaptation & Food Security","Integrated Pest Management","1","primary_to_related"
"Climate Change & Agriculture","Climate Adaptation","1","primary_to_related"
"Climate Change & Agriculture","Crop Shifts","1","primary_to_related"
"Climate Change & Land Use","Agriculture Emissions","1","primary_to_related"
"Climate Change & Land Use","Deforestation","1","primary_to_related"
"Climate Change & Migration","Climate Refugees","1","primary_to_related"
"Climate Change & Migration","Environmental Risk","1","primary_to_related"
"Climate Change & Polar Ecosystems","Arctic Sea Ice","1","primary_to_related"
"Climate Change & Polar Ecosystems","Polar Bears","1","primary_to_related"
"Climate Change & Resource Conflicts","Political Conflict","1","primary_to_related"
"Climate Change & Resource Conflicts","Resource Scarcity","1","primary_to_related"
"Climate Change & Resource Conflicts","Water Conflicts","1","primary_to_related"
"Climate Finance & Policy","Adaptation Funding","1","primary_to_related"
"Climate Finance & Policy","Development Needs","1","primary_to_related"
"Climate Risk & Investments","Extreme Weather","1","primary_to_related"
"Climate Risk & Investments","Stranded Assets","1","primary_to_related"
"Coding-Decoding","Symbol-Number Mapping","1","primary_to_related"
"Combinatorics","Geometry","1","primary_to_related"
"Comparative Statements","Inequalities","1","primary_to_related"
"Comparative Statements","Order","1","primary_to_related"
"Conservation of Quantity","Net Change","1","primary_to_related"
"Constraint Satisfaction","Logical Sufficiency","1","primary_to_related"
"Consumerism & Environmental Sustainability","Aspirations","1","primary_to_related"
"Consumerism & Environmental Sustainability","Ecological Limits","1","primary_to_related"
"Cost-Volume","Profit-Loss","1","primary_to_related"
"Counting Triangles","3D Geometry","1","primary_to_related"
"Crony Capitalism","Market Distortions","1","primary_to_related"
"Crony Capitalism","Oligarchies","1","primary_to_related"
"Crop Diversity & Food Security","Climate Change","1","primary_to_related"
"Crop Diversity & Food Security","Monoculture Risks","1","primary_to_related"
"Data Sufficiency","Logical Deduction","1","primary_to_related"
"Decision-Making & Perseverance","Indecision","1","primary_to_related"
"Decision-Making & Perseverance","Perseverance","1","primary_to_related"
"Decision-Making & Perseverance","Resolution","1","primary_to_related"
"Deductive Logic","Statement Evaluation","2","primary_to_related"
"Democratic Political Maturity","Democratic Legitimacy","1","primary_to_related"
"Democratic Political Maturity","Sovereignty","1","primary_to_related"
"Dependency Ratio","Demography","1","primary_to_related"
"Dependency Ratio","Workforce Trend","1","primary_to_related"
"Desertification & Deforestation","Hydrology Changes","3","primary_to_related"
"Desertification & Deforestation","Soil Degradation","3","primary_to_related"
"Devolution & Decentralization","Grassroots Participation","1","primary_to_related"
"Devolution & Decentralization","Political Legitimacy","1","primary_to_related"
"Digital Society & Governance","Digital Technologies","1","primary_to_related"
"Digital Society & Governance","Social Transformation","1","primary_to_related"
"Direct vs Indirect Taxes","Tax Revenue","1","primary_to_related"
"Direct vs Indirect Taxes","Trend Analysis","1","primary_to_related"
"Direction Sense","Net Displacement","1","primary_to_related"
"Direction Sense","Path Tracking","1","primary_to_related"
"Divisibility","Modulo","1","primary_to_related"
"Ecoagriculture & Biodiversity","Agro-biodiversity","1","primary_to_related"
"Ecoagriculture & Biodiversity","Sustainable Farming","1","primary_to_related"
"Ecosystem Resilience & Climate Change","Human Impact","1","primary_to_related"
"Ecosystem Resilience & Climate Change","Small Mammals","1","primary_to_related"
"Education & Culture","Human Development","1","primary_to_related"
"Education & Culture","Intellectual Capital","1","primary_to_related"
"Education Equity","Equality of Opportunity","1","primary_to_related"
"Education Equity","RTE Quotas","1","primary_to_related"
"Education System & Skills","Industrial Age Schooling","1","primary_to_related"
"Education System & Skills","New-Age Skills","1","primary_to_related"
"Employment & Economic Growth","Employment Elasticity","1","primary_to_related"
"Employment & Economic Growth","Organized Sector Jobs","1","primary_to_related"
"Figure Series","Rotation","1","primary_to_related"
"Financial Inclusion","Banking Access","1","primary_to_related"
"Financial Inclusion","Banking Correspondents","1","primary_to_related"
"Financial Inclusion","Financial Literacy","1","primary_to_related"
"Financial Inclusion","Inclusive Finance","1","primary_to_related"
"Food Safety & Globalization","Foodborne Illness","1","primary_to_related"
"Food Safety & Globalization","Supply Chain Risk","1","primary_to_related"
"Food Safety & Public Health","Food Contamination","1","primary_to_related"
"Food Safety & Public Health","Regulatory Surveillance","1","primary_to_related"
"Food Security & Nutrition","Agricultural Productivity","1","primary_to_related"
"Food Security & Nutrition","Malnutrition","1","primary_to_related"
"Food Security vs Trade Rules","MSP Subsidies","1","primary_to_related"
"Food Security vs Trade Rules","WTO Agriculture","1","primary_to_related"
"Fractions","Gender Ratio","1","primary_to_related"
"Global Food Security","Food Affordability","1","primary_to_related"
"Global Food Security","Food Supply Chains","1","primary_to_related"
"Global Food Security","Hunger","1","primary_to_related"
"Global Food Security","Hunger Reduction","1","primary_to_related"
"Global Food Security","Market Regulation","1","primary_to_related"
"Global Food Security","Price Affordability","1","primary_to_related"
"Global Food Security","Purchasing Power","1","primary_to_related"
"Global Food Security","Supply-Demand Balance","1","primary_to_related"
"GM Technology & IPR","Crop Resilience","2","primary_to_related"
"GM Technology & IPR","Intellectual Property","2","primary_to_related"
"Governance Accountability","Civil Services Reform","4","primary_to_related"
"Governance Accountability","Internal vs External Accountability","4","primary_to_related"
"Graph Paths","Directed Graph","3","primary_to_related"
"Graph Paths","Route Constraints","3","primary_to_related"
"Grid Navigation","Coordinate Movement","1","primary_to_related"
"Grouping & Selection","Logic Games","1","primary_to_related"
"Grouping & Selection","Set Constraints","1","primary_to_related"
"Habit Formation","Behavioral Habits","1","primary_to_related"
"Habit Formation","Routine & Efficiency","1","primary_to_related"
"Historical Injustice & Social Discrimination","Economic Deprivation","2","primary_to_related"
"Historical Injustice & Social Discrimination","Social Discrimination","2","primary_to_related"
"Historical Injustice & Social Discrimination","Untouchability","2","primary_to_related"
"Historical Lessons for Leadership","Leadership Traits","1","primary_to_related"
"Historical Lessons for Leadership","Military History","1","primary_to_related"
"Household Air Pollution","Clean Cooking Fuels","1","primary_to_related"
"Household Air Pollution","Health Impacts","1","primary_to_related"
"Human Evolution & Lactose Tolerance","Domestication","1","primary_to_related"
"Human Evolution & Lactose Tolerance","Genetic Adaptation","1","primary_to_related"
"Inclusive Innovation & Inequality","Income Inequality","1","primary_to_related"
"Inclusive Innovation & Inequality","R&D Policy","1","primary_to_related"
"Inclusive Wealth & Sustainability","GDP vs Inclusive Wealth","1","primary_to_related"
"Inclusive Wealth & Sustainability","Natural Capital","1","primary_to_related"
"Income Comparison","Algebraic Reasoning","1","primary_to_related"
"Indian Federalism","Federalism","1","primary_to_related"
"Indian Federalism","National Integrity","1","primary_to_related"
"Industrial Farming & Sustainability","Environmental Cost","1","primary_to_related"
"Industrial Farming & Sustainability","Factory Farming","1","primary_to_related"
"Inequality & Economic Power","Income Inequality","1","primary_to_related"
"Inequality & Economic Power","Power Structures","1","primary_to_related"
"Installments","Outstanding Balance","1","primary_to_related"
"Interval Arithmetic","Squares","1","primary_to_related"
"Invasive Species","Biodiversity","1","primary_to_related"
"Invasive Species","Disturbed Habitats","1","primary_to_related"
"IoT Security","Cybersecurity","1","primary_to_related"
"IoT Security","Device Vulnerabilities","1","primary_to_related"
"Labour Reforms & Employment","Employment Growth","1","primary_to_related"
"Labour Reforms & Employment","Informal Sector","1","primary_to_related"
"LCM / Cyclic Scheduling","Cyclic Scheduling","1","primary_to_related"
"LCM / Cyclic Scheduling","LCM","1","primary_to_related"
"Leadership & Political Legitimacy","Democratic Leadership","1","primary_to_related"
"Leadership & Political Legitimacy","Dictatorship","1","primary_to_related"
"Leadership Development","Decision-Making","1","primary_to_related"
"Leadership Development","Leadership Training","1","primary_to_related"
"Leisure and Human Progress","Creativity","1","primary_to_related"
"Leisure and Human Progress","Technological Progress","1","primary_to_related"
"Letter Coding","Pattern","1","primary_to_related"
"Letter Rearrangement","Pattern","1","primary_to_related"
"Liquidity Management","Interest Rates","1","primary_to_related"
"Logic Puzzles","Assignment Constraints","10","primary_to_related"
"Logic Puzzles","Logic Grid","9","primary_to_related"
"Logic Puzzles","Set Relations","1","primary_to_related"
"Logical Deduction (Constraint System)","3D Visualization","3","primary_to_related"
"Logical Deduction (Constraint System)","Age","1","primary_to_related"
"Logical Deduction (Constraint System)","Age Problems","3","primary_to_related"
"Logical Deduction (Constraint System)","Algebra","3","primary_to_related"
"Logical Deduction (Constraint System)","Algebraic Comparison","1","primary_to_related"
"Logical Deduction (Constraint System)","Allowances","1","primary_to_related"
"Logical Deduction (Constraint System)","Area","1","primary_to_related"
"Logical Deduction (Constraint System)","Arithmetic Logic","1","primary_to_related"
"Logical Deduction (Constraint System)","Arithmetic Progression","2","primary_to_related"
"Logical Deduction (Constraint System)","Arrangement Restrictions","1","primary_to_related"
"Logical Deduction (Constraint System)","Arrangements","1","primary_to_related"
"Logical Deduction (Constraint System)","Average","3","primary_to_related"
"Logical Deduction (Constraint System)","Average Weight","1","primary_to_related"
"Logical Deduction (Constraint System)","Bar Graph","1","primary_to_related"
"Logical Deduction (Constraint System)","Basic Probability","1","primary_to_related"
"Logical Deduction (Constraint System)","Binary Sequences","1","primary_to_related"
"Logical Deduction (Constraint System)","Binary Strings","1","primary_to_related"
"Logical Deduction (Constraint System)","Borrowing","1","primary_to_related"
"Logical Deduction (Constraint System)","Calendar","3","primary_to_related"
"Logical Deduction (Constraint System)","Capacity","1","primary_to_related"
"Logical Deduction (Constraint System)","Circles","1","primary_to_related"
"Logical Deduction (Constraint System)","Circular","1","primary_to_related"
"Logical Deduction (Constraint System)","Circular Motion","1","primary_to_related"
"Logical Deduction (Constraint System)","Clock Error","2","primary_to_related"
"Logical Deduction (Constraint System)","Code Patterns","2","primary_to_related"
"Logical Deduction (Constraint System)","Coin Change","1","primary_to_related"
"Logical Deduction (Constraint System)","Color Arrangements","1","primary_to_related"
"Logical Deduction (Constraint System)","Combinations","2","primary_to_related"
"Logical Deduction (Constraint System)","Combinatorics","2","primary_to_related"
"Logical Deduction (Constraint System)","Comparative Analysis","1","primary_to_related"
"Logical Deduction (Constraint System)","Concentration","1","primary_to_related"
"Logical Deduction (Constraint System)","Constraints","4","primary_to_related"
"Logical Deduction (Constraint System)","Coordinates","1","primary_to_related"
"Logical Deduction (Constraint System)","Corrected Mean","1","primary_to_related"
"Logical Deduction (Constraint System)","Cost Price","1","primary_to_related"
"Logical Deduction (Constraint System)","Cost Ratios","1","primary_to_related"
"Logical Deduction (Constraint System)","Counting","7","primary_to_related"
"Logical Deduction (Constraint System)","Counting Parallelograms","1","primary_to_related"
"Logical Deduction (Constraint System)","Cubes","1","primary_to_related"
"Logical Deduction (Constraint System)","Dates","1","primary_to_related"
"Logical Deduction (Constraint System)","Defect Percentage","1","primary_to_related"
"Logical Deduction (Constraint System)","Diagonal","1","primary_to_related"
"Logical Deduction (Constraint System)","Difference","1","primary_to_related"
"Logical Deduction (Constraint System)","Difference Calculation","1","primary_to_related"
"Logical Deduction (Constraint System)","Differences","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Arithmetic","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Constraints","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Count","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Counting","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Inequalities","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Patterns","1","primary_to_related"
"Logical Deduction (Constraint System)","Digit Reversal","3","primary_to_related"
"Logical Deduction (Constraint System)","Discount","1","primary_to_related"
"Logical Deduction (Constraint System)","Displacement","1","primary_to_related"
"Logical Deduction (Constraint System)","Distance","2","primary_to_related"
"Logical Deduction (Constraint System)","Distance Formula","2","primary_to_related"
"Logical Deduction (Constraint System)","Divisibility","2","primary_to_related"
"Logical Deduction (Constraint System)","Divisibility Rule","1","primary_to_related"
"Logical Deduction (Constraint System)","Efficiency","1","primary_to_related"
"Logical Deduction (Constraint System)","Elimination","1","primary_to_related"
"Logical Deduction (Constraint System)","Environmental Safety","1","primary_to_related"
"Logical Deduction (Constraint System)","Equations","1","primary_to_related"
"Logical Deduction (Constraint System)","Equilateral Triangles","1","primary_to_related"
"Logical Deduction (Constraint System)","Error","1","primary_to_related"
"Logical Deduction (Constraint System)","Family","1","primary_to_related"
"Logical Deduction (Constraint System)","Fraction Adjustment","1","primary_to_related"
"Logical Deduction (Constraint System)","Fractions","1","primary_to_related"
"Logical Deduction (Constraint System)","Graph","3","primary_to_related"
"Logical Deduction (Constraint System)","Graph Interpretation","1","primary_to_related"
"Logical Deduction (Constraint System)","Grid","1","primary_to_related"
"Logical Deduction (Constraint System)","Head Start","1","primary_to_related"
"Logical Deduction (Constraint System)","Household Income Distribution","1","primary_to_related"
"Logical Deduction (Constraint System)","Inclusion-Exclusion","1","primary_to_related"
"Logical Deduction (Constraint System)","Income","1","primary_to_related"
"Logical Deduction (Constraint System)","Income-Expenditure","1","primary_to_related"
"Logical Deduction (Constraint System)","Inequalities","2","primary_to_related"
"Logical Deduction (Constraint System)","Integrated Pest Management","1","primary_to_related"
"Logical Deduction (Constraint System)","LCM","1","primary_to_related"
"Logical Deduction (Constraint System)","Leap Year","1","primary_to_related"
"Logical Deduction (Constraint System)","Letter Substitution","1","primary_to_related"
"Logical Deduction (Constraint System)","Letter-Number Mapping","1","primary_to_related"
"Logical Deduction (Constraint System)","Line Graph","1","primary_to_related"
"Logical Deduction (Constraint System)","Linear Equations","4","primary_to_related"
"Logical Deduction (Constraint System)","Linear Expression","1","primary_to_related"
"Logical Deduction (Constraint System)","Logical Deduction","1","primary_to_related"
"Logical Deduction (Constraint System)","Marks","1","primary_to_related"
"Logical Deduction (Constraint System)","Max Area","1","primary_to_related"
"Logical Deduction (Constraint System)","Mean Calculation","1","primary_to_related"
"Logical Deduction (Constraint System)","Mean of Consecutive Numbers","1","primary_to_related"
"Logical Deduction (Constraint System)","Mean-Median-Mode","1","primary_to_related"
"Logical Deduction (Constraint System)","Middle Term","1","primary_to_related"
"Logical Deduction (Constraint System)","Minimum Draws","1","primary_to_related"
"Logical Deduction (Constraint System)","Missing Digits","1","primary_to_related"
"Logical Deduction (Constraint System)","Number Formation","1","primary_to_related"
"Logical Deduction (Constraint System)","Number Line","1","primary_to_related"
"Logical Deduction (Constraint System)","Number Properties","1","primary_to_related"
"Logical Deduction (Constraint System)","Number Series","1","primary_to_related"
"Logical Deduction (Constraint System)","Numbering","1","primary_to_related"
"Logical Deduction (Constraint System)","Numbers","1","primary_to_related"
"Logical Deduction (Constraint System)","Opposite Faces","3","primary_to_related"
