"Source","Target","Weight"
"Number System","Overlapping Groups","1"
"Energy Transition & Renewables","Gas-based Economy","1"
"Logical Reasoning","Prime Numbers","1"
"Crop Residue Burning","Biomass Burning","1"
"Number System","Pattern Logic","1"
"Solar Power Manufacturing","SECI","1"
"Effective Exchange Rate","NEER/REER","1"
"Jain Sects","Sthanakvasi","1"
"Money Bill vs Finance Bill","Rajya Sabha Role","1"
"Freedom Fighters","Central Assembly","1"
"Biofuel Feedstocks","National Biofuel Policy","1"
"Number System","Primes Under 20","1"
"UNCLOS Provisions","Innocent Passage","1"
"Nuclear Fuel & Power Generation","Coal Dependence","1"
"Number System","Letter Rearrangement","1"
"Mineral Resources in India","Gold Mines","1"
"Manufacturing Upgradation","Productivity Growth","1"
"Number System","Packing","1"
"Regions & Countries","Cabo Delgado","1"
"Logical Reasoning","Statement & Conclusion","3"
"Averages","Incremental Average","1"
"Biodiversity & Hydrological Cycle","Water Cycle","1"
"Civil Nuclear Cooperation","International Agreements","1"
"DILRMP","Cadastral Maps","1"
"Afghanistan Bordering Countries","Uzbekistan","1"
"Biodiversity & Hydrological Cycle","Ecosystem Services","1"
"Medieval Gujarat & Portuguese","Bahadur Shah","1"
"Food Prices & Demand","Emerging Economies","1"
"Presidential Pardoning Power","Cabinet Advice","1"
"Cryptocurrency","Digital Payments","1"
"Particularly Vulnerable Tribal Groups","Tribal Welfare","1"
"Supreme Court Powers","Complete Justice","1"
"Sun Temples in India","Konark Sun Temple","1"
"Country News","Argentina Crisis","1"
"Summer Solstice","Longest Day","1"
"Glaciers and Rivers","Zemu","1"
"Number System","Greatest Common Divisor","1"
"Number System","Cost","2"
"Indian Flying Fox","Wildlife Protection Act","1"
"Buddhist Sects","Sthaviravada","1"
"Mountain Ranges & Types","Andes","1"
"UNCLOS Provisions","EEZ","1"
"Missile Systems","BrahMos","1"
"Open-source Digital Platforms","CoWIN","1"
"Fanam","Medieval Coins","1"
"Short-range Communication Tech","WLAN","1"
"Logical Reasoning","Symbolic Inequalities","1"
"Number System","Modular ArithmeticPowers","1"
"Food Security vs Trade Rules","WTO Agriculture","1"
"Ukraine Neighbors","Hungary","1"
"Data Privacy & IoT","Cybersecurity","1"
"Data Privacy & IoT","Privacy Risk","1"
"Monetary Policy","Inflation Control","1"
"Indian State Geography","Indian States","1"
"Profit & Loss","Percentage Profit/Loss","1"
"Ayushman Bharat Digital Mission","Health IDs","1"
"Capital Adequacy Ratio","Banking Regulation","2"
"Permutation & Combination","Inclusion-Exclusion","1"
"Number System","Months","1"
"Civil Society & State","Buffer Role","1"
"Time, Speed & Distance","Time Intervals","1"
"Qubit","Quantum Computing","1"
"Preamble Legal Status","Constitutional Interpretation","1"
"Government of India Act 1935","Residuary Powers","1"
"Tiger Reserves & Critical Tiger Habitat","Tiger Conservation","1"
"Ratio & Proportion","Gender Ratio","1"
"Xerophytic Adaptations","Desert Plants","5"
"Averages","Weighted Average","2"
"Boards & Ministries","Coir Board","1"
"Natural Fibre Crops","Textile Fibre","1"
"Number System","Ratio","3"
"Constitutional Provisions Mapping","Fundamental Rights","1"
"Columbian Exchange Crops","Domesticated Plants","1"
"Inflation Control","Monetary Policy","1"
"Agricultural Technology & Food Security","Food Wastage","1"
"Number System","Sum of AP","1"
"Number System","Sign Analysis","1"
"Demographic Dividend","Higher Education","1"
"Adaptive Immunity","T Cells","1"
"Averages","Income","1"
"Logical Reasoning","Deductions","1"
"Dams & Reservoirs","Irrigation Projects","1"
"Country News","Sudan Conflict","1"
"EP100 & Climate Group","Energy Efficiency Commitments","1"
"Profit & Loss","Percentage Profit","1"
"President Election & Powers","Dissolution","1"
"Smallholder Farmers & Climate Risk","Climate Vulnerability","2"
"Number System","LCM","4"
"Middle-Income Trap","Economic Development","1"
"Carbon Cycle & Soil Carbon","CO2 Feedbacks","1"
"Cripps Mission Proposals","Provincial Option","1"
"Number System","Algebra","6"
"Environment & Health Behavior","Collective Action","1"
"Minor Minerals Governance","Sand Mining","1"
"Minor Minerals Governance","State Rules","1"
"Number System","Minimum Draws","1"
"Isotherms","January","1"
"Logical Reasoning","Counting Constraints","1"
"Sangam Practices","Vattakirutal","1"
"Ecoagriculture & Biodiversity","Sustainable Farming","1"
"Sustainable Development & Energy Transition","Consumption Patterns","1"
"Time, Speed & Distance","Coincidence","1"
"Constitutional Government","Rule of Law","1"
"Percentage","Conditional Percentage","1"
"Number System","Population","2"
"Cryptocurrency","Financial Regulation","1"
"Agricultural Market Reforms","e-NAM","1"
"Flag Code of India","Standard Sizes","1"
"Antimicrobial Resistance","Antibiotic Misuse","1"
"Nature Restoration Law","European Union","1"
"Permutation & Combination","Digit Patterns","1"
"Tuberculosis & Social Determinants","Poverty","1"
"Activated Carbon Adsorption","Waste-derived Carbon","1"
"National Food Security Act","PDS Entitlements","1"
"Somnath Temple","Jyotirlinga","1"
"UN International Years","Women Farmers","1"
"Petroleum & Natural Gas Regulatory Board","Energy Regulation","1"
"Ecosystem Resilience & Climate Change","Human Impact","1"
"Small Finance Banks","Banking Regulation","1"
"Number System","Reverse Product","1"
"Non-Cooperation Programme","Panchayats","1"
"Number System","Digit Difference","1"
"Planning in India","Plan Objectives","1"
"Governance Accountability","Internal vs External Accountability","4"
"Medieval Ports & Trade","Maritime Trade","1"
"Capital Markets Components","Government Bonds","1"
"Cybersecurity Reporting","CERT-In","1"
"National Skills Qualification Framework","Mobility","1"
"Ratio & Proportion","Proportion","1"
"Money Bill","Consolidated Fund","1"
"Red Sea Characteristics","Low Rainfall","1"
"Tiger Monitoring Systems","M-STrIPES","1"
"Countercyclical Fiscal Policy","Recession Response","10"
"Money Market Instruments","Commercial Paper","1"
"Scheduled Areas Governance","Governor Powers","1"
"Mitochondrial Replacement Therapy","Mitochondrial Disease","1"
"Committee on Subordinate Legislation","Parliamentary Committees","1"
"Evolutionary Biology","Homologous Limbs","1"
"Microbiome & Malnutrition","Gut Microbiome","2"
"PM-SYM Scheme","Eligibility","1"
"Rule of Law Index","Global Governance Indices","1"
"Fixed-term Employment","Standing Orders","1"
"Keystone Species & Seed Dispersal","Biodiversity","1"
"Fiscal-Monetary Policy Interaction","Inflation Control","1"
"Number System","Percentage Change","1"
"Parliamentary System","Vote of No Confidence","1"
"Skill Development","PMKVY","1"
"Logical Reasoning","Quadratic ComparisonAlgebra","1"
"Major Minerals","Sillimanite","1"
"Leadership & Political Legitimacy","Dictatorship","1"
"Fungus-Farming Insects","Mutualism","1"
"Solstice Daylength","Tropic of Cancer","1"
"Number System","Cube Mapping","1"
"Gandikota Canyon","Pennar River","1"
"Money Multiplier","Banking Habits","1"
"Israel-Palestine Conflict","Middle East Peace","1"
"IAEA Safeguards & Nuclear Fuel","Imported Uranium","1"
"Time & Work","Rates","1"
"Democratic Political Maturity","Sovereignty","1"
"Humanitarian Crises","Conflict Zones","1"
"Climate Change & Resource Conflicts","Water Conflicts","1"
"Green Technology Transition","Green Investment","1"
"Fifth Generation Fighter Aircraft","MiG-29","1"
"Global Rice Exports","Rice Exporter Countries","1"
"Monetary Policy Instruments","SLR","1"
"Titanium Minerals","Ilmenite","1"
"Indian Squirrels Behavior","Nesting","1"
"Averages","Age","1"
"Time, Speed & Distance","Circular Track","1"
"Fiscal Deficits","Primary Deficit","1"
"PM-SYM Scheme","Pension","1"
"Titanium Minerals","Rutile","1"
"Aadhaar APIs","Digital Identity","1"
"Vietnam Economy","Export-led Growth","1"
"Land-Sea Thermal Contrast","Seasonal Contrast","1"
"Sustainable Diets & Resources","Resource Use","1"
"Indian National Movement","Extremists vs Moderates","1"
"Delhi Sultanate Revenue Administration","Iqtas","1"
"Global Food Security","Supply-Demand Balance","1"
"Bank Balance Sheet","Assets vs Liabilities","1"
"Modern Indian Timeline","Anandmath","1"
"National Rail Plan & Kavach","ATP System","1"
"Judicial Review","Constitutionality of Laws","1"
"Time, Speed & Distance","Time-Distance","3"
"Pesticides","Organophosphates","1"
"Water Resource Management","Water Distribution","1"
"North Sea Bordering Countries","UK","1"
"Industrial Disputes Data","Closures & Layoffs","1"
"Indigo Cultivation Decline","Synthetic Dyes","1"
"Mahajanapadas & Rivers","Kosala","1"
"Early Medieval Dynasties","Hoysala","1"
"Legume Family Crops","Groundnut","1"
"Indian Forest Act","Forest Offences","1"
"Indian Reservoirs","Gandhi Sagar","1"
"Demographic Dividend","Growth","1"
"US Sovereign Debt","Default Risk","1"
"Agricultural Households","NSSO Surveys","5"
"IUCN Bodies","GISD","1"
"Crop Residue Burning","Air Pollutants","1"
"Writ Jurisdiction","Quo Warranto","1"
"Bioenergy Sustainability","Food Security","1"
"Logical Reasoning","Position Constraints","3"
"Handloom Sector Modernization","State Support","1"
"Nutrition Programs","National Nutrition Mission","1"
"Urban Air Pollution Policy","Vehicle Emissions","1"
"Indian Freedom Struggle","Quit India Movement","1"
"Multilateral Financing Institutions","World Bank Initiatives","1"
"Food Loss & Waste","Social Responsibility","1"
"Time, Speed & Distance","Arithmetic Series","1"
"Permutation & Combination","Numbers","1"
"Ashokan Rock Edicts","Erragudi","1"
"Urban Planning Education","Professional Training","1"
"Number System","Digit Reversal","3"
"Inflation-Indexed Bonds","Inflation Protection","1"
"Viruses & Hosts","Marine Viruses","1"
"Number System","Circle-Square Intersections","1"
"Economic Development vs Growth","Poverty","1"
"Percentage","Comparison","1"
"Indian Culture","Cultural Heritage","1"
"Number System","Birth Rate","1"
"Current Affairs Country Events","Lebanon","1"
"Number System","Missing Digits","1"
"Vedic Civilization","Cultural Differences","1"
"Global Competitiveness Index","World Economic Forum","1"
"Foreign Direct Investment","Equity Investment","1"
"Miyawaki Method","Urban Mini Forests","1"
"Percentage","Percent Difference","1"
"Biodiversity Loss","Climate Change","1"
"Anaemia Mukt Bharat","Non-nutritional Causes","1"
"Number System","Sequence Pattern","1"
"Time, Speed & Distance","Time Difference","2"
"Concept of Equality","Privileges","1"
"Number System","Change Making","1"
"Logical Reasoning","Constraints","3"
"Paleoclimate Change","Carbon Release","1"
"Equality & Democracy","Non-discrimination","1"
"Indian Federalism","National Integrity","1"
"North Eastern Council Composition","NEC Act","1"
"Number System","Partitioning","1"
"Number System","Pigeonhole","1"
"Basic Structure & Judicial Review","Basic Structure Doctrine","1"
"Freshwater Fish Distribution","Mahseer","1"
"Gharial Conservation","Riverine Habitats","1"
"Wood's Dispatch","Colonial Education Policy","1"
"Groundwater Extraction","Water Security","1"
"Agricultural Households","NSSO","5"
"Indian Fauna Distribution","Asiatic Lion","1"
"Money Supply Measures","Demand Deposits","1"
"COVID-19 Vaccines","Sputnik V","1"
"Bhasa Literature","Madhyama-vyayoga","1"
"Percentage","Discount","1"
"Net-Zero Transition","Low-carbon Options","1"
"Banks Board Bureau","PSB Appointments","1"
"Big Data & Digital Sovereignty","Data Monopoly","2"
"Time, Speed & Distance","Net Displacement","1"
"Logical Reasoning","Digit Reversal","1"
"Traditional Performing Arts","Krishna Bhakti","1"
"Chemical Weathering","Carbonic Acid","1"
"Judicial Impeachment Process","Judges Inquiry Act","1"
"Rashtriya Gokul Mission","Indigenous Cattle","1"
"Lokpal Provisions","PM","1"
"Cooperative Banking Structure","PACS","1"
"Ratio & Proportion","Optimization","1"
"Number System","Letter Number Mapping","1"
"Rock Permeability","Clay Impermeability","1"
"Percentage","Successive Change","1"
"Number System","Digit Counting","2"
"Number System","Relative Ages","1"
"Monazite & Rare Earths","Coastal Sands","1"
"Industrial Waste Utilization","Soil Amendment","1"
"UAV Capabilities","Hover","1"
"Digital Payments","BHIM App","1"
"Cyber Attacks","EternalBlue","1"
"Number System","Number Sequence","1"
"Number System","Perfect Squares/Cubes","1"
"Number System","Squares","3"
"Science & Philosophy","Education","1"
"IoT Security","Device Vulnerabilities","1"
"Indian Avifauna","Coppersmith Barbet","1"
"Averages","Mean of Combined Set","1"
"Oral Traditions in History","Cultural Memory","1"
"Number System","Death Rate","1"
"Capital vs Revenue Expenditure","Financing Sources","1"
"Lake Faguibine","West Africa","1"
"Direct Air Capture","Synthetic Fuels","1"
"Regional Connectivity Projects","BCIM","1"
"India Way Author","S. Jaishankar","1"
"Multidimensional Poverty","Capabilities","1"
"Inequality & Economic Power","Power Structures","1"
"Home Rule League","Swarajya Sabha","1"
"Primary Deficit Calculation","Interest Payments","1"
"Nanoparticles","Cosmetics","1"
"Mediterranean Region","Mediterranean Sea","1"
"World Rivers & Drainage","Zambezi-Indian Ocean","1"
"Averages","Average Age","1"
"GDP Growth & Development","Distribution","1"
"Number System","Difference","1"
"Adaptive Immunity","B Cells","1"
"Number System","3-7-10-11 Divisibility","1"
"Sustainable Aviation Fuel","Sludge","1"
"Permutation & Combination","Arrangement Restrictions","1"
"Permutation & Combination","Counting Digits","1"
"Social Reform & Women's Rights","Age of Consent","1"
"Number System","Economic Growth","1"
"Logical Reasoning","Route Constraints","3"
"Musk Deer Habitat","Gangotri","1"
"Fiscal Indicators","Tax Revenue","1"
"Plastics in Products","Lenses","1"
"Number System","Deduction","1"
"Fixed-term Employment","Labour Law","1"
"Permutation & Combination","Restrictions","1"
"International Date Line Effect","Calendar Day","1"
"Inflation-Indexed Bonds","Government Borrowing","1"
"Parliamentary Accountability","Adjournment Motion","1"
"Logical Reasoning","Age Comparison","1"
"Energy Transition & Renewables","Technology Subsidies","1"
"Mahayana Buddhism Concepts","Paramitas","1"
"Self-Help Groups","SHG-Bank Linkage","1"
"Pumped-Storage Hydropower","Grid Balancing","1"
"Ratio & Proportion","Income-Expenditure","1"
"Political Economy","Economic Power","1"
"Inflation Indices","CPI Weight","1"
"Real Sector of Economy","Financial Sector","1"
"NATO Membership","Austria","1"
"Agroecology","Mixed Farming","1"
"Wildlife Corridors","Sathyamangalam Tiger Reserve","1"
"Solar Storm Impacts","Auroras","1"
"Ramanuja Philosophy","Bhakti","1"
"Ramanuja Philosophy","Vishishtadvaita","1"
"Maternity Benefit Act","Leave Entitlements","1"
"Permutation & Combination","Counting Triangles","1"
"Economic Progress & Leisure","Automation","1"
"Ratio & Proportion","Distribution","2"
"Global Food Security","Purchasing Power","1"
"Number System","Pattern Mapping","1"
"Participatory Notes","FPI","1"
"Crude Oil Benchmarks","WTI","1"
"Climate Change Adaptation","Adaptation Policy","1"
"Number System","Prime Factorization","1"
"Supreme Court Powers","Judicial Power","1"
"Mahajanapadas & Rivers","Asmaka","1"
"AI Action Summit 2025","Paris","1"
"Direct Air Capture","Carbon Sequestration","1"
"Time & Work","Efficiency","1"
"Number System","3D Counting","1"
"Atmospheric Phenomena","Cyclone Eye","1"
"Carbon Sequestration Technology","Basalt","1"
"Number System","Relative Position","2"
"Kho Kho World Cup 2025","India Champions","1"
"Biofilms","Antibiotic Resistance","1"
"Indian Ocean Naval Symposium","Indian Ocean Region","1"
"Cripps Mission Proposals","Constituent Assembly","1"
"Number System","Net Gain","1"
"Logical Reasoning","Arrangement Logic","1"
"Investment Risk & Asset Allocation","Risk Management","1"
"Number System","Political Theory","1"
"Mughal Music","Akbar's Court","1"
"Fiscal-Monetary Policy Interaction","Bond Yields","1"
"Number System","Venn","1"
"Green Hydrogen for Heavy Industry","Refineries","1"
"Glaciers and Rivers","Bandarpunch","1"
"Fig-fig Wasp Mutualism","Coevolution","1"
"Antimicrobial Resistance","Livestock","1"
"G20 Common Framework for Debt","Low-Income Country Debt","1"
"G20 Formation & Priorities","Finance Ministers","1"
"Animal Tool Use","Foraging Tools","1"
"Goods and Services Tax","Indirect Tax Reform","1"
"World Toilet Organization","Sanitation NGO","1"
"Remote Sensing Applications","Greenhouse Gases","1"
"UAV Capabilities","Power Sources","1"
"Seismic Waves","P Waves","1"
"Congo Basin Geography","Central Africa","1"
"Ecological Interdependence","Trophic Interactions","1"
"Percentage","Household Income Distribution","1"
"Number System","Increment Effects","1"
"Logical Reasoning","Consistency","1"
"Constitution Amendments","Fundamental Rights","1"
"Number System","Digit Arithmetic","1"
"Drone Applications","Precision Agriculture","1"
"Peacock Tarantula","Habitat","1"
"Short-range Communication Tech","RFID","1"
"Logical Reasoning","Digit Sum","1"
"Right to Marry","Personal Liberty","1"
"Logical Reasoning","Logical Validity","2"
"Percentage","Comparisons","1"
"Wildlife Trade Monitoring","TRAFFIC","1"
"Digital Society & Governance","Digital Technologies","1"
"Ratio & Proportion","Volume","1"
"CBLO Instruments","Repo","1"
"PMSMA Scheme","Private Doctors","1"
"Desertification & Deforestation","Soil Degradation","3"
"Ganga Tributaries Sequence","Ghaghara","1"
"Pesticides","Agricultural Chemicals","1"
"GDPR","Data Protection","1"
"SUMED Pipeline","Red Sea to Mediterranean","1"
"Agroforestry & Food Security","Resilience","1"
"Domestic Content Requirement","Trade Policy","1"
"President's Rule","Parliamentary Authority","1"
"OLED Technology","Organic Semiconductors","1"
"Municipal Waste Management","Waste-to-Energy","1"
"Community Reserve","Community Rights","1"
"Cyber Attacks","WannaCry","1"
"Mahayana Buddhism Concepts","Bodhisattva Path","1"
"Digital India Programme","Wi-Fi Access","1"
"Merchant Discount Rate","Banking Charges","1"
"Thermal Power Plants & Water Stress","Ownership","1"
"Stock Market Beta","Systematic Risk","1"
"Ratio & Proportion","Operator Substitution","1"
"Barren Island Volcano","Andaman Volcanism","1"
"Social Contract & General Will","Popular Sovereignty","1"
"Humanitarian Crises","Famine","1"
"Refugee Settlements in Kenya","Bidibidi","1"
"Government of India Act 1935","All-India Federation","1"
"Non-Financial Debt","Household Debt","1"
"Percentage","Population Proportion","1"
"Logical Reasoning","System of Equations","1"
"Permutation & Combination","Positioning","1"
"Agriculture Dependence & Demography","Population Growth","1"
"Antibiotics & Environmental Pollution","Effluent Treatment","1"
"Number System","Carry Over","1"
"Non-Cooperation Programme","Boycott","1"
"Vedic Civilization","Indus Valley Civilization","1"
"Waste-to-Energy Technologies","Plasma Gasification","1"
"WTO Trade Facilitation Agreement","Customs Procedures","1"
"Ease of Doing Business Index","Sub-indices","1"
"Number System","Coordinate Movement","1"
"Deputy Speaker of Lok Sabha","Powers of Presiding Officer","1"
"Popular Sovereignty","Social Contract","1"
"FCI Economic Cost","Distribution Costs","1"
"Due Process of Law","Natural Justice","1"
"Time, Speed & Distance","Odd/Even Positions","1"
"UAV Capabilities","VTOL","1"
"Fuel Cell Vehicles Emissions","Water Vapour","1"
"Invasive Species","Disturbed Habitats","1"
"Law and Liberty","Liberty","1"
"Indian Princely States Policy","Butler Committee (1927)","1"
"Logical Reasoning","Family Tree","2"
"ASI & Archaeology in India","Archaeological Surveys","1"
"Reactive Nitrogen Emissions","Agriculture","1"
"Andes Mountains Countries","Colombia","1"
"Number System","Equations","1"
"Profit & Loss","Time Difference","1"
"Hydrogels Applications","Biomedical Uses","1"
"Archaeological Sites","Inamgaon","1"
"Agroforestry & Food Security","Forest Foods","1"
"Religious Freedom & State Regulation","Article 25","1"
"Niger Seed Cultivation","Kharif Crop","1"
"Unemployment & Aspirations","Job Market","1"
"Number System","Scaling","1"
"Permutation & Combination","Digit Arrangement","1"
"Permutation & Combination","Password Counting","1"
"Sanitation Behavior","Purity-Pollution Norms","1"
"Percentage","Weighted Average","2"
"Logical Reasoning","Inclusion-Exclusion","1"
"Child Labour","ILO Convention 138","1"
"Early Political Associations","Indian Association","1"
"Rashtriya Gokul Mission","Rural Livelihoods","1"
"Genome Editing","Genetic Modification","1"
"Nanoparticles","Environmental Safety","1"
"Denisovan Hominins","Human Evolution","1"
"Green Hydrogen Applications","Blending","1"
"National Handloom Day","Swadeshi Movement","1"
"Antibiotic Resistance & Livestock","Superbugs","1"
"Coastal Geomorphology","Sea Level Change","1"
"Flood & Drought Management","Cropping Pattern","1"
"ASEAN Free Trade Partners","ASEAN+6","1"
"India's Maritime Strategy","Chabahar Port","1"
"Time, Speed & Distance","Angle","1"
"Sangam Literature","Warrior Ethic","1"
"Distributed Energy Resources","Rooftop Solar","1"
"Indian Military Aircraft Types","Dornier-228","1"
"UNESCO World Heritage 2023","Shantiniketan","1"
"Deciduous Trees","Teak","1"
"Capital Receipts","Disinvestment","1"
"Time, Speed & Distance","Coordinates","1"
"Animal Habitats","Bonobo","1"
"Election Nomination Rules","Electoral Roll","1"
"Foundational Learning & Education","Learning Outcomes","1"
"Cement Industry Emissions","Limestone","1"
"Central Bank Digital Currency","Programmability","1"
"Money Bill","Contingency Fund","1"
"Environment Protection Act 1986","Environmental Standards","1"
"Logical Reasoning","Ranking","3"
"Legal Profession Regulation","Bar Councils","1"
"Missile Defense Systems","THAAD","1"
"Ashokan Administration","Yukta","1"
"Financial Inclusion","Payment Banks","1"
"Atmospheric Greenhouse Effect","Heat Trapping","1"
"Atal Innovation Mission","NITI Aayog","1"
"Ratio & Proportion","Linear Ratio","1"
"Sustainable Development & Energy Transition","Public Transport","1"
"Markets, Welfare & Democracy","Welfare State","1"
"Space Missions & Microgravity","Axiom-4","1"
"Kisan Credit Card","Short-term Agricultural Credit","1"
"India Exports & PLI Scheme","Export Share","1"
"Alternative Powertrain Vehicles","FCEV","1"
"Digital Single Market Strategy","European Union","1"
"Permutation & Combination","Circle Arrangements","1"
"Ayushman Bharat Digital Mission","Voluntary Participation","1"
"Number System","Calendar Cycles","1"
"Logical Reasoning","Pattern","2"
"Logical Reasoning","Speed/Rate","1"
"Balance of Trade & Current Account","Merchandise Trade","1"
"Number System","Scoring Scheme","1"
"Non-Fungible Tokens","Blockchain","1"
"State-Level Climate Action","Green Energy","1"
"Carbon Nanotubes","Biosensors","1"
"Averages","Average Weight","1"
"Extremophiles","Psychrophiles","1"
"Microplastic Pollution","Marine Pollution","1"
"Green Economy","PAGE","1"
"Number System","Number Series","1"
"Bioenergy Sustainability","Negative Emissions","1"
"Science and Society","Progress vs Conflict","1"
"Crop Disease Risk & Genetic Diversity","Wild Relatives","1"
"Happiness & Gift-Giving","Adult Psychology","1"
"Mountain Ranges & Types","Appalachians","1"
"Percentage","Percent Shortfall","1"
"Averages","Group Averages","1"
"Monetary Policy","Rate Hikes","1"
"Government Securities & Treasury Bills","Treasury Bills","1"
"Jain Philosophy","Jainism","1"
"Parliamentary Oversight of Regulators","Standing Committees","1"
"Fiscal Deficits","Fiscal Deficit","1"
"Forced Labour","Gupta Period","1"
"Science & Human Progress","Social Progress","1"
"Indian National Movement","INC Positions","1"
"Electoral Rights","Right to Vote","1"
"Trade Union Movement","Hind Mazdoor Sabha","1"
"Sustainable Road Construction","Geotextiles","1"
"Intangible Assets","Client Lists","1"
"Open-source Digital Platforms","DigiLocker","1"
"Conservation Agriculture","Crop Residue","1"
"DPSP Enforceability","Non-Justiciable","1"
"Ethanol Production","Brazil vs USA","1"
"Globalization & Economic Sovereignty","Technology","1"
"Fractional Orbital Bombardment System","Hypersonic Delivery","1"
"Time, Speed & Distance","Circular","2"
"IMF Reserve Tranche","IMF Credit Facilities","1"
"Evolution & Natural Selection","Environmental Change","1"
"Indian Federalism","Federal Features","1"
"Ocean Mean Temperature","OMT","1"
"Conflict Regions","Nagorno-Karabakh","1"
"Ghadar Party Associates","Rash Behari Bose","1"
"Number System","Work Progress","1"
"Number System","Repetition","1"
"Political Parties & Leaders","Swatantra","1"
"Himalayan National Parks","Protected Areas","2"
"Nari Shakti Vandan Adhiniyam","Duration","1"
"Gravitational Waves","Black Hole Merger","1"
"Buddhist Sects","Mahasanghika","1"
"Human Evolution & Lactose Tolerance","Domestication","1"
"Climate Action Tracker","Emission Pledges","1"
"Aadhaar Act","Aadhaar Data Sharing","1"
"ASEAN Free Trade Partners","Regional Trade Agreements","1"
"Genomic Breeding","Crop Improvement","1"
"Tiger Reserves & Critical Tiger Habitat","Nagarjunasagar-Srisailam","1"
"Membrane Bioreactors","Wastewater Treatment","1"
"Elephants as Keystone Species","Biodiversity","1"
"Portuguese Introduced Crops","Papaya","1"
"Solstice Daylength","Arctic Circle","1"
"Habit Formation","Routine & Efficiency","1"
"PNGRB Regulation Scope","Storage","1"
"Sustainable Development & Energy Transition","Fossil Fuels","1"
"Economic Liberalization & Role of State","Inequality","1"
"Evolution & Natural Selection","Extinction Drivers","1"
"GAGAN System","SBAS","1"
"Somnath Temple","Reconstruction","1"
"Buddha Epithets","Tathagata","1"
"Democracy & Education","Populism","1"
"G20 Formation & Priorities","Digital Public Infrastructure","1"
"Time, Speed & Distance","Speed Ratio","1"
"Number System","Multiplicative Pattern","1"
"Classical Sanskrit Scholars","Kalidasa","1"
"DILRMP","Land Records","1"
"Ashokan Edicts & Dhamma","Edicts","1"
"Digital Economy & Privacy","Trust","1"
"Governance & Citizenship","Unity","1"
"Number System","Outstanding Balance","1"
"Agricultural Income & Taxation","Allied Activities","1"
"Number System","Proportions","3"
"UN International Years","Peace & Trust","1"
"Speaker of Lok Sabha","Tenure","1"
"Industrial Revolution Impact on India","Handicrafts","1"
"Number System","Word Problems","1"
"Right against Exploitation","Forced Labour","1"
"Aadhaar Act","Welfare Entitlements","1"
"Logical Reasoning","Logic Puzzle","2"
"Financial Inclusion","Financial Literacy","1"
"Number System","Trend","1"
"Greenfield Airports","Vijayawada","1"
"High-Energy Explosives","CL-20","1"
"Asiatic Lion Conservation","Translocation","1"
"Number System","Seconds","1"
"Legal Profession Regulation","Legal Education","1"
"Manual Scavenging Rehabilitation","Innovation Programs","1"
"Currency Crisis Risk","Remittances","1"
"Blockchain Technology","Distributed Ledger","1"
"Profit & Loss","Discount","1"
"Percentage","Percentage Calculation","1"
"Agricultural Transformation & Poverty Reduction","Inclusive Agricultural Growth","1"
"Tea Board of India","Statutory Body","1"
"Number System","Tax Revenue","1"
"Logical Reasoning","Pattern Recognition","1"
"Benami Property Law","Confiscation","1"
"Geographical Indications & TRIPS","WTO","1"
"Number System","Worst Case","1"
"Wolbachia for Mosquito Control","Dengue","1"
"UN Credentials Committee","General Assembly","1"
"Number System","Max/Min","2"
"Global Competitiveness Index","Competitiveness","1"
"Circular Economy & Battery Recycling","Critical Minerals","1"
"National Payments Corporation of India","Financial Inclusion","1"
"Digital India Programme","Broadband Connectivity","1"
"State-Level Climate Action","Mitigation","1"
"Inflation Indices","CPI vs WPI","1"
"UN International Years","Tourism","1"
"Sanitation Behavior","Open Defecation","1"
"Fiscal Deficits","Revenue Deficit","1"
"Industrial Waste Utilization","Cement","1"
"Crony Capitalism","Market Distortions","1"
"Sustainable Agriculture Practices","Tensiometer","1"
"Number System","Volume-Weight","1"
"Web 3.0","Data Ownership","1"
"Number System","Unpainted Cubes","1"
"International Date Line Effect","Nome","1"
"Siachen Glacier Geography","Nubra Valley","1"
"Bird Identification","Spoonbill","1"
"Software as a Service","Cloud Applications","1"
"Mercury Pollution","Gold Mining","1"
"Permutation & Combination","Primes","1"
"RTGs in Spacecraft","Deep Space Power","1"
"Number System","Comparison","2"
"Permutation & Combination","Multiples","1"
"Regional Connectivity Projects","East-West Corridor","1"
"Number System","Certainty","1"
"Economic Freedom & Education Investment","Tax Incentives","1"
"Denisovan Hominins","Fossils","1"
"Evolution & Natural Selection","Catastrophes","1"
"Indian Patents Act","Patentability","1"
"Agricultural Heritage Systems","Agro-biodiversity","1"
"Keystone Species & Seed Dispersal","Fig Trees","1"
"Indian Forest Act","Amendment","1"
"Logical Reasoning","Venn Diagram","2"
"Climate Change & Resource Conflicts","Political Conflict","1"
"Scheduled Areas Administration","Fifth Schedule","1"
"Number System","Middle Term","1"
"Nutrition Security & Crop Diversity","Millets","1"
"Number System","Circular Track","1"
"Global Climate Change Alliance","EU Climate Aid","1"
"Percentage","Winning Margin","1"
"Climate Action Tracker","Research Consortium","1"
"Financial Inclusion","Banking Access","1"
"Solar Power Projects in India","Airports","1"
"Jaina Texts","Parishishtaparvan","1"
"Logical Reasoning","Ranking & Inequalities","1"
"Casual Workers & Labour Laws","EPF Coverage","45"
"Nuclear Suppliers Group","Nuclear Non-Proliferation","1"
"Number System","Page Pairs","1"
"Education System & Skills","New-Age Skills","1"
