"questionId","primary_concept","question_intent","cognitive_level"
"UPSC_2018_CSAT_Q19","Right to Education & Quality","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q2","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q20","Right to Education & Quality","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q21","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q22","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q23","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q24","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q25","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q26","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q27","Desertification & Deforestation","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q28","Desertification & Deforestation","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q29","Desertification & Deforestation","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q3","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q30","Biodiversity & Climate Adaptation","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q31","Biodiversity & Climate Adaptation","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q32","Consumerism & Environmental Sustainability","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q33","Leadership Development","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q34","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q35","Ratio & Proportion","Concept Application","L2"
"UPSC_2018_CSAT_Q36","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q37","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q38","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q39","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q4","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q40","Time, Speed & Distance","Concept Application","L2"
"UPSC_2018_CSAT_Q41","Percentage","Concept Application","L2"
"UPSC_2018_CSAT_Q42","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q43","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q44","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q45","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q46","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q47","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q48","Logical Reasoning","Elimination Logic","L4"
"UPSC_2018_CSAT_Q49","Climate Finance & Policy","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q5","Time, Speed & Distance","Concept Application","L2"
"UPSC_2018_CSAT_Q50","Household Air Pollution","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q51","Science & Human Progress","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q52","Arctic Geopolitics & Resources","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q53","Food Security vs Trade Rules","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q54","Education System & Skills","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q55","Obesity & Dieting","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q56","Crop Diversity & Food Security","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q57","Profit & Loss","Concept Application","L2"
"UPSC_2018_CSAT_Q58","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q59","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q6","Time, Speed & Distance","Concept Application","L2"
"UPSC_2018_CSAT_Q60","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q61","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q62","Permutation & Combination","Concept Application","L2"
"UPSC_2018_CSAT_Q63","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q64","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q65","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q66","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q67","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q68","Ratio & Proportion","Concept Application","L2"
"UPSC_2018_CSAT_Q69","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q7","Agriculture Dependence & Demography","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q70","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q71","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q72","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q73","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q74","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q75","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q76","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q77","Number System","Concept Application","L2"
"UPSC_2018_CSAT_Q78","Industrial Farming & Sustainability","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q79","Wildlife Corridors & Conservation","Reading Interpretation","L2"
"UPSC_2018_CSAT_Q8","Food Safety & Globalization","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q80","Wildlife Corridors & Conservation","Reading Interpretation","L3"
"UPSC_2018_CSAT_Q9","Science & Faith","Reading Interpretation","L2"
"UPSC_2018_GS1_Q1","Leader of Opposition","Elimination Logic","L3"
"UPSC_2018_GS1_Q1","Leader of Opposition","Elimination Logic","L3"
"UPSC_2018_GS1_Q1","Leader of Opposition","Elimination Logic","L3"
"UPSC_2018_GS1_Q1","Leader of Opposition","Elimination Logic","L3"
"UPSC_2018_GS1_Q1","Leader of Opposition","Elimination Logic","L3"
"UPSC_2018_GS1_Q10","Edible Oil Imports","Elimination Logic","L3"
"UPSC_2018_GS1_Q11","Freedom Fighters","Fact Recall","L1"
"UPSC_2018_GS1_Q12","Aadhaar & Identity","Elimination Logic","L3"
"UPSC_2018_GS1_Q13","Inland Water Bodies","Elimination Logic","L3"
"UPSC_2018_GS1_Q14","Rule of Law Index","Fact Recall","L1"
"UPSC_2018_GS1_Q15","ATM Network","Fact Recall","L1"
"UPSC_2018_GS1_Q16","Capital Adequacy Ratio","Elimination Logic","L3"
"UPSC_2018_GS1_Q17","Aadhaar APIs","Elimination Logic","L3"
"UPSC_2018_GS1_Q18","Humanitarian Crises","Fact Recall","L1"
"UPSC_2018_GS1_Q19","Wood's Dispatch","Elimination Logic","L3"
"UPSC_2018_GS1_Q2","Xerophytic Adaptations","Fact Recall","L1"
"UPSC_2018_GS1_Q2","Xerophytic Adaptations","Fact Recall","L1"
"UPSC_2018_GS1_Q2","Xerophytic Adaptations","Elimination Logic","L3"
"UPSC_2018_GS1_Q2","Xerophytic Adaptations","Fact Recall","L1"
"UPSC_2018_GS1_Q2","Xerophytic Adaptations","Fact Recall","L1"
"UPSC_2018_GS1_Q20","Committee on Subordinate Legislation","Fact Recall","L1"
"UPSC_2018_GS1_Q21","Right to Education","Elimination Logic","L3"
"UPSC_2018_GS1_Q22","Cultural Traditions & Festivals","Elimination Logic","L3"
"UPSC_2018_GS1_Q23","Food Safety Regulation","Elimination Logic","L3"
"UPSC_2018_GS1_Q24","Israel-Palestine Conflict","Fact Recall","L1"
"UPSC_2018_GS1_Q25","National Food Security Act","Elimination Logic","L3"
"UPSC_2018_GS1_Q26","Geographical Indications & TRIPS","Fact Recall","L1"
"UPSC_2018_GS1_Q27","Mineral Resources in India","Elimination Logic","L3"
"UPSC_2018_GS1_Q28","Digital Payments","Elimination Logic","L3"
"UPSC_2018_GS1_Q29","Longitudes in India","Fact Recall","L1"
"UPSC_2018_GS1_Q3","Agricultural Households","Elimination Logic","L3"
"UPSC_2018_GS1_Q3","Agricultural Households","Elimination Logic","L3"
"UPSC_2018_GS1_Q3","Agricultural Households","Elimination Logic","L3"
"UPSC_2018_GS1_Q3","Agricultural Households","Elimination Logic","L3"
"UPSC_2018_GS1_Q3","Agricultural Households","Elimination Logic","L3"
"UPSC_2018_GS1_Q30","Child Labour","Fact Recall","L1"
"UPSC_2018_GS1_Q31","Money Bill","Concept Understanding","L2"
"UPSC_2018_GS1_Q32","Presidential Election","Elimination Logic","L3"
"UPSC_2018_GS1_Q33","IAEA Additional Protocol","Fact Recall","L1"
"UPSC_2018_GS1_Q34","ASEAN Free Trade Partners","Fact Recall","L1"
"UPSC_2018_GS1_Q35","Climate-Smart Agriculture","Elimination Logic","L3"
"UPSC_2018_GS1_Q36","Digital India Programme","Elimination Logic","L3"
"UPSC_2018_GS1_Q37","Conflict Zones in West Asia","Elimination Logic","L3"
"UPSC_2018_GS1_Q38","Government of India Act 1935","Fact Recall","L1"
"UPSC_2018_GS1_Q39","Speaker of Legislative Assembly","Elimination Logic","L3"
"UPSC_2018_GS1_Q4","Environmental Institutions","Elimination Logic","L3"
"UPSC_2018_GS1_Q4","Environmental Institutions","Elimination Logic","L3"
"UPSC_2018_GS1_Q4","Environmental Institutions","Elimination Logic","L3"
"UPSC_2018_GS1_Q40","Law and Liberty","Concept Understanding","L2"
"UPSC_2018_GS1_Q41","Governor's Immunities","Elimination Logic","L3"
"UPSC_2018_GS1_Q42","Kishangarh School of Painting","Fact Recall","L1"
"UPSC_2018_GS1_Q43","Missile Defense Systems","Fact Recall","L1"
"UPSC_2018_GS1_Q44","Carnatic Composers","Elimination Logic","L3"
"UPSC_2018_GS1_Q45","Rule of Law","Elimination Logic","L3"
"UPSC_2018_GS1_Q46","Legal Tender","Fact Recall","L1"
"UPSC_2018_GS1_Q47","Opportunity Cost","Concept Understanding","L2"
"UPSC_2018_GS1_Q48","Economic Development vs Growth","Concept Understanding","L2"
"UPSC_2018_GS1_Q49","Human Capital Formation","Elimination Logic","L3"
"UPSC_2018_GS1_Q5","Ninth Schedule & Judicial Review","Elimination Logic","L3"
"UPSC_2018_GS1_Q50","Capital-Output Ratio","Concept Understanding","L2"
"UPSC_2018_GS1_Q51","Santhal Parganas","Elimination Logic","L3"
"UPSC_2018_GS1_Q52","Commercialization of Agriculture","Fact Recall","L1"
"UPSC_2018_GS1_Q53","President's Rule","Fact Recall","L1"
"UPSC_2018_GS1_Q54","Indian Handicrafts","Elimination Logic","L3"
"UPSC_2018_GS1_Q55","GPS Applications","Elimination Logic","L3"
"UPSC_2018_GS1_Q56","Government Securities & Treasury Bills","Elimination Logic","L3"
"UPSC_2018_GS1_Q57","Earth's Early Atmosphere","Elimination Logic","L3"
"UPSC_2018_GS1_Q58","Cyber Attacks","Fact Recall","L1"
"UPSC_2018_GS1_Q59","Conservation Agriculture","Elimination Logic","L3"
"UPSC_2018_GS1_Q6","Merchant Discount Rate","Fact Recall","L1"
"UPSC_2018_GS1_Q60","Biodiversity Loss","Concept Understanding","L2"
"UPSC_2018_GS1_Q61","IRNSS/NavIC","Elimination Logic","L3"
"UPSC_2018_GS1_Q62","General Relativity","Fact Recall","L1"
"UPSC_2018_GS1_Q63","GM Mustard","Elimination Logic","L3"
"UPSC_2018_GS1_Q64","Emerging Technologies","Elimination Logic","L3"
"UPSC_2018_GS1_Q65","Carbon Fertilization","Fact Recall","L1"
"UPSC_2018_GS1_Q66","Internet of Things","Fact Recall","L1"
"UPSC_2018_GS1_Q67","Solar Power Manufacturing","Elimination Logic","L3"
"UPSC_2018_GS1_Q68","Bengal Exports","Fact Recall","L1"
"UPSC_2018_GS1_Q69","Champaran Satyagraha","Concept Understanding","L2"
"UPSC_2018_GS1_Q7","Nuclear Suppliers Group","Elimination Logic","L3"
"UPSC_2018_GS1_Q70","Trade Union Movement","Fact Recall","L1"
"UPSC_2018_GS1_Q71","Jain Sects","Fact Recall","L1"
"UPSC_2018_GS1_Q72","Indo-Islamic Architecture","Elimination Logic","L3"
"UPSC_2018_GS1_Q73","European Travellers in India","Fact Recall","L1"
"UPSC_2018_GS1_Q74","Buddhist Concepts","Fact Recall","L1"
"UPSC_2018_GS1_Q75","Subsidiary Alliance","Fact Recall","L1"
"UPSC_2018_GS1_Q76","English Education Policy","Elimination Logic","L3"
"UPSC_2018_GS1_Q77","Lakes in India","Fact Recall","L1"
"UPSC_2018_GS1_Q78","Skill Development","Elimination Logic","L3"
"UPSC_2018_GS1_Q79","Home Rule League","Fact Recall","L1"
"UPSC_2018_GS1_Q8","Equalization Levy","Elimination Logic","L3"
"UPSC_2018_GS1_Q80","Modern Indian Timeline","Fact Recall","L1"
"UPSC_2018_GS1_Q81","River Sand Mining Impacts","Elimination Logic","L3"
"UPSC_2018_GS1_Q82","Soil Properties & Salinization","Elimination Logic","L3"
"UPSC_2018_GS1_Q83","Green Economy","Fact Recall","L1"
"UPSC_2018_GS1_Q84","3D Printing Applications","Elimination Logic","L3"
"UPSC_2018_GS1_Q85","Barren Island Volcano","Elimination Logic","L3"
"UPSC_2018_GS1_Q86","Invasive Species","Fact Recall","L1"
"UPSC_2018_GS1_Q9","Fiscal Responsibility & Debt","Elimination Logic","L3"
"UPSC_2019_CSAT_Q1","Historical Injustice & Social Discrimination","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q10","Permutation & Combination","Concept Application","L2"
"UPSC_2019_CSAT_Q11","Percentage","Concept Application","L2"
"UPSC_2019_CSAT_Q12","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q13","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q14","Permutation & Combination","Concept Application","L2"
"UPSC_2019_CSAT_Q15","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q16","Percentage","Concept Application","L2"
"UPSC_2019_CSAT_Q17","Percentage","Concept Application","L2"
"UPSC_2019_CSAT_Q18","Averages","Concept Application","L2"
"UPSC_2019_CSAT_Q19","Ratio & Proportion","Concept Application","L2"
"UPSC_2019_CSAT_Q2","Historical Injustice & Social Discrimination","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q20","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q21","IoT Security","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q22","Big Data & Digital Sovereignty","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q23","Big Data & Digital Sovereignty","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q24","Smallholder Farmers & Climate Risk","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q25","Smallholder Farmers & Climate Risk","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q26","Climate Risk & Investments","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q27","Education Equity","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q28","Tuberculosis & Social Determinants","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q29","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q3","Education & Culture","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q30","Time, Speed & Distance","Concept Application","L2"
"UPSC_2019_CSAT_Q31","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q32","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q33","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q34","Percentage","Concept Application","L2"
"UPSC_2019_CSAT_Q35","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q36","Time, Speed & Distance","Concept Application","L2"
"UPSC_2019_CSAT_Q37","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q38","Averages","Concept Application","L2"
"UPSC_2019_CSAT_Q39","Percentage","Concept Application","L2"
"UPSC_2019_CSAT_Q4","Soil Erosion & Food Security","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q40","Averages","Concept Application","L2"
"UPSC_2019_CSAT_Q41","GM Technology & IPR","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q42","GM Technology & IPR","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q43","Invasive Species","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q44","Food Safety & Public Health","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q45","Urban Planning & Inclusion","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q46","Employment & Economic Growth","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q47","Financial Inclusion","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q48","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q49","Time, Speed & Distance","Concept Application","L2"
"UPSC_2019_CSAT_Q5","Inequality & Economic Power","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q50","Ratio & Proportion","Concept Application","L2"
"UPSC_2019_CSAT_Q51","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q52","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q53","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q54","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q55","Averages","Concept Application","L2"
"UPSC_2019_CSAT_Q56","Permutation & Combination","Concept Application","L2"
"UPSC_2019_CSAT_Q57","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q58","Logical Reasoning","Elimination Logic","L4"
"UPSC_2019_CSAT_Q59","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q6","Climate Change & Agriculture","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q60","Number System","Concept Application","L2"
"UPSC_2019_CSAT_Q61","Regulation & Economic Growth","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q62","Regulation & Economic Growth","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q63","Microbiome & Malnutrition","Reading Interpretation","L2"
"UPSC_2019_CSAT_Q64","Microbiome & Malnutrition","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q65","Antarctic Climate Change","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q66","Ecosystem Resilience & Climate Change","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q67","Agrobiodiversity Loss","Reading Interpretation","L3"
"UPSC_2019_CSAT_Q68","Logical Reasoning","Elimination Logic","L4"
