"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText"
"UPSC_2020_GS1_Q36","2020","History","statement_based","","","hard","static","elimination","","","","conceptual","","","Ancient Polities; Modern India Timeline","With reference to the scholars/literatures of ancient India, consider the following statements: 1. Panini is associated with Pushyamitra Shunga. 2. Amarasimha is associated with Harshavardhana. 3. Kalidasa is associated with Chandra Gupta II. Which of the statements given above is/are correct?",""
"UPSC_2020_GS1_Q41","2020","Environment","statement_based","","","hard","static","elimination","","","","conceptual","","","Carbon Sequestration","With reference to carbon nanotubes, consider the following statements: 1. They can be used as carriers of drugs and antigens in the human body. 2. They can be made into artificial blood capillaries for an injured part of human body. 3. They can be used in biochemical sensors. 4. Carbon nanotubes are biodegradable. Which of the statements given above are correct?",""
"UPSC_2020_GS1_Q43","2020","Science & Technology","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Space Missions","""The experiment will employ a trio of spacecraft flying in formation in the shape of an equilateral triangle that has sides one million kilometres long, with lasers shining between the craft."" The experiment in question refers to",""
"UPSC_2020_GS1_Q44","2020","Science & Technology","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. Genetic changes can be introduced in the cells that produce eggs or sperms of a prospective parent. 2. A person's genome can be edited before birth at the early embryonic stage. 3. Human induced pluripotent stem cells can be injected into the embryo of a pig. Which of the statements given above is/are correct?",""
"UPSC_2020_GS1_Q66","2020","Geography","mcq_standard","","","medium","dynamic","elimination","","","","elimination","","","","Under the Kisan Credit Card scheme, short-term credit support is given to farmers for which of the following purposes? 1. Working capital for maintenance of farm assets 2. Purchase of combine harvesters, tractors and mini trucks 3. Consumption requirements of farm households 4. Post-harvest expenses 5. Construction of family house and setting up of village cold storage facility Select the correct answer using the code given below:",""
"UPSC_2020_GS1_Q67","2020","Economy","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","Inflation Targeting; Monetary Policy; Fiscal Policy","Consider the following statements: 1. The weighted average of food in Consumer Price Index (CPI) is higher than that in Wholesale Price Index (WPI). 2. The WPI does not capture changes in the prices of services, which CPI does. 3. Reserve Bank of India has now adopted WPI as its key measure of inflation and to decide on changing the key policy rates. Which of the statements given above is/are correct?",""
"UPSC_2020_GS1_Q68","2020","Geography","pair_match","","","medium","static","elimination","","","","conceptual","","","Indian Monsoon; River Systems; Ocean Currents","Consider the following pairs: River - Flows into 1. Mekong - Andaman Sea 2. Thames - Irish Sea 3. Volga - Caspian Sea 4. Zambezi - Indian Ocean Which of the pairs given above is/are correctly matched?",""
"UPSC_2020_GS1_Q73","2020","Environment","mcq_standard","","","medium","static","elimination","","","","elimination","","","Protected Areas; Wildlife Protection","Which of the following Protected Areas are located in Cauvery basin? 1. Nagarhole National Park 2. Papikonda National Park 3. Sathyamangalam Tiger Reserve 4. Wayanad Wildlife Sanctuary Select the correct answer using the code given below:",""
"UPSC_2020_GS1_Q8","2020","Polity","mcq_standard","","","medium","static","elimination","","","","elimination","","","Fundamental Rights; Directive Principles; Emergency Provisions","Other than the Fundamental Rights, which of the following parts of the Constitution of India reflect/reflects the principles and provisions of the Universal Declaration of Human Rights (1948)? 1. Preamble 2. Directive Principles of State Policy 3. Fundamental Duties Select the correct answer using the code given below:",""
"UPSC_2020_GS1_Q81","2020","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Wildlife Protection; Invasive Species","If a particular plant species is placed under Schedule VI of The Wildlife Protection Act, 1972, what is the implication?",""
"UPSC_2021_CSAT_Q10","2021","Environment","mcq_standard","","","medium","static","elimination","","","","factual","","","Climate Change; Wildlife Protection; Invasive Species","A Statement followed by Conclusion-I and Conclusion-II is given below. You have to take the Statement to be true even if it seems to be at variance from the commonly known facts. Statement: Some radios are mobiles. All mobiles are computers. Some computers are watches. Conclusion-I: Certainly some radios are watches. Conclusion-II: Certainly some mobiles are watches. Which one of the following is correct?",""
"UPSC_2021_CSAT_Q11","2021","Environment","mcq_standard","","","medium","static","assumption","","","","conceptual","","","Biodiversity Conservation; Pollution Control; Invasive Species","On the basis of the passage given above, the following assumptions have been made: Fig trees can often be keystone species in natural forests. Fig trees can grow where other large woody species cannot grow. Sacred trees can have a role in biodiversity conservation. Fig trees have a role in the seed dispersal of other tree species. Which of the above assumptions is/are valid?",""
"UPSC_2021_CSAT_Q18","2021","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","A bank employee drives 10 km towards South from her house and turns to her left and drives another 20 km. She again turns left and drives 40 km, then she turns to her right and drives for another 5 km. She again turns to her right and drives another 30 km to reach her bank where she works. What is the shortest distance between her bank and her house?",""
"UPSC_2021_CSAT_Q20","2021","Geography","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Urban Geography","A woman runs 12 km towards her North, then 6 km towards her South and then 8 km towards her East. In which direction is she from her starting point?",""
"UPSC_2021_CSAT_Q32","2021","Current Affairs","mcq_standard","","","medium","static","inference","","","","conceptual","","","","Which among the following is the most logical and rational inference that can be made from the passage given above?",""
"UPSC_2021_CSAT_Q71","2021","Science & Technology","mcq_standard","","","medium","static","elimination","","","","factual","","","Space Missions","Which one of the following statements best sums up the passage given above?",""
"UPSC_2021_GS1_Q1","2021","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. The Governor of the Reserve Bank of India (RBI) is appointed by the Central Government. 2. Certain provisions in the Constitution of India give the Central Government the right to issue directions to the RBI in public interest. 3. The Governor of the RBI draws his power from the RBI Act. Which of the above statements are correct?",""
"UPSC_2021_GS1_Q14","2021","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","External Sector","With reference to 'WaterCredit', consider the following statements: 1. It puts microfinance tools to work in the water and sanitation sector. 2. It is a global initiative launched under the aegis of the World Health Organization and the World Bank. 3. It aims to enable the poor people to meet their water needs without depending on subsidies. Which of the statements given above are correct?",""
"UPSC_2021_GS1_Q25","2021","Polity","mcq_standard","","","medium","static","elimination","","","","elimination","","","","Magnetite particles, suspected to cause neurodegenerative problems, are generated as environmental pollutants from which of the following? 1. Brakes of motor vehicles 2. Engines of motor vehicles 3. Microwave stoves within homes 4. Power plants 5. Telephone lines Select the correct answer using the code given below.",""
"UPSC_2021_GS1_Q32","2021","History","mcq_standard","","","medium","static","elimination","","","","factual","","","Ancient Polities","Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?",""
"UPSC_2021_GS1_Q40","2021","History","statement_correct","","","medium","static","elimination","","","","elimination","","","Ancient Polities; Economic History; Modern India Timeline","With reference to the history of ancient India, which of the following statements is/are correct? 1. Mitakshara was the civil law for upper castes and Dayabhaga was the civil law for lower castes. 2. In the Mitakshara system, the sons can claim right to the property during the lifetime of the father, whereas in the Dayabhaga system, it is only after the death of the father that the sons can claim right to the property. 3. The Mitakshara system deals with the matters related to the property held by male members only of a family, whereas the Dayabhaga system deals with the matters related to the property held by both male and female members of a family. Select the correct answer using the code given below.",""
"UPSC_2021_GS1_Q44","2021","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Ancient Polities; Religious Movements; Modern India Timeline","Who among the following is associated with 'Songs from Prison', a translation of ancient Indian religious lyrics in English?",""
"UPSC_2021_GS1_Q46","2021","Current Affairs","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Who among the following was associated as Secretary with Hindu Female School which later came to be known as Bethune Female School?",""
"UPSC_2021_GS1_Q49","2021","History","mcq_standard","","","medium","static","elimination","","","","factual","","","","Which one of the following statements is correct?",""
"UPSC_2021_GS1_Q5","2021","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","Local Self-Government","With reference to Urban Cooperative Banks in India, consider the following statements: 1. They are supervised and regulated by local boards set up by the State Governments. 2. They can issue equity shares and preference shares. 3. They were brought under the purview of the Banking Regulation Act, 1949 through an Amendment in 1966. Which of the statements given above is/are correct?",""
"UPSC_2021_GS1_Q63","2021","Geography","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. Moringa (drumstick tree) is a leguminous evergreen tree. 2. Tamarind tree is endemic to South Asia. 3. In India, most of the tamarind is collected as minor forest produce. 4. India exports tamarind and seeds of moringa. 5. Seeds of moringa and tamarind can be used in the production of biofuels. Which of the statements given above are correct?",""
"UPSC_2021_GS1_Q7","2021","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","External Sector","Consider the following: 1. Foreign currency convertible bonds 2. Foreign institutional investment with certain conditions 3. Global depository receipts 4. Non-resident external deposits Which of the above can be included in Foreign Direct Investments?",""
"UPSC_2021_GS1_Q80","2021","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","Election Commission","Consider the following statements: 1. In India, there is no law restricting the candidate from contesting in one Lok Sabha election from three constituencies. 2. In 1991 Lok Sabha Election, Shri Devi Lal contested from three Lok Sabha constituencies. 3. As per the existing rules, if a candidate contests in one Lok Sabha election from many constituencies, his/her party should bear the cost of bye-elections to the constituencies vacated by him/her in the event of him/her winning in all the constituencies. Which of the statements given above is/are correct?",""
"UPSC_2021_GS1_Q84","2021","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Climate Change","At the national level, which ministry is the nodal agency to ensure effective implementation of the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006?",""
"UPSC_2021_GS1_Q93","2021","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Constitutional Bodies","What was the exact constitutional status of India on 26th January, 1950?",""
"UPSC_2022_GS1_Q13","2022","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. A bill amending the Constitution requires a prior recommendation of the President of India. 2. When a Constitution Amendment Bill is presented to the President of India, it is obligatory for the President of India to give his/her assent. 3. A Constitution Amendment Bill must be passed by both Lok Sabha and the Rajya Sabha by a special majority and there is no provision for joint sitting. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q15","2022","Polity","mcq_standard","","","medium","static","elimination","","","","elimination","","","Emergency Provisions","Which of the following is/are the exclusive power(s) of Lok Sabha? 1. To ratify the declaration of Emergency 2. To pass a motion of no-confidence against the Council of Ministers 3. To impeach the President of India Select the correct answer using the code given below:",""
"UPSC_2022_GS1_Q19","2022","Geography","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","","With reference to Ayushman Bharat Digital Mission, consider the following statements: 1. Private and public hospitals must adopt it. 2. As it aims to achieve universal health coverage, every citizen of India should be part of it ultimately. 3. It has seamless portability across the country. Which of the statements given above is/are correct?",""
"UPSC_2022_GS1_Q20","2022","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","Parliamentary Procedures; Election Commission","With reference to Deputy Speaker of Lok Sabha, consider the following statements: 1. As per the Rules of Procedure and Conduct of Business in Lok Sabha, the election of Deputy Speaker shall be held on such date as the Speaker may fix. 2. There is a mandatory provision that the election of a candidate as Deputy Speaker of Lok Sabha shall be from either the principal opposition party or the ruling party. 3. The Deputy Speaker has the same power as of the Speaker when presiding over the sitting of the House and no appeal lies against his rulings. 4. The well established parliamentary practice regarding the appointment of Deputy Speaker is that the motion is moved by the Speaker and duly seconded by the Prime Minister. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q25","2022","Geography","pair_match","","","medium","static","elimination","","","","conceptual","","","","Consider the following pairs: Peak - Mountains 1. Nanda Barwa - Garhwal Himalaya 2. Nanda Devi - Kumaon Himalayas 3. Nokrek - Sikkim Himalaya Which of the pairs given above is/are correctly matched?",""
"UPSC_2022_GS1_Q39","2022","Science & Technology","statement_based","","","hard","static","elimination","","","","conceptual","","","","In the context of vaccines manufactured to prevent COVID-19 pandemic, consider the following statements: 1. The Serum Institute of India produced COVID-19 vaccine named Covishield using mRNA platform. 2. Sputnik V vaccine is manufactured using vector based platform. 3. COVAXIN is an inactivated pathogen based vaccine. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q40","2022","Economy","mcq_standard","","","medium","static","elimination","","","","elimination","","","","If a major solar storm (solar flare) reaches the Earth, which of the following are the possible effects on the Earth? 1. GPS and navigation systems could fail. 2. Tsunamis could occur at equatorial regions. 3. Power grids could be damaged. 4. Intense auroras could occur over much of the Earth. 5. Forest fires could take place over much of the planet. 6. Orbits of the satellites could be disturbed. 7. Shortwave radio communication of the aircraft flying over polar regions could be interrupted. Select the correct answer using the code given below:",""
"UPSC_2022_GS1_Q44","2022","Environment","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","Pollution Control","In the context of WHO Air Quality Guidelines, consider the following statements: 1. The 24-hour mean of PM2.5 should not exceed 15 ug/m3 and annual mean of PM10 should not exceed 5 ug/m3. 2. In a year, the highest levels of ozone pollution occur during the periods of inclement weather. 3. PM10 can penetrate the lung barrier and enter the bloodstream. 4. Excessive ozone in the air can trigger asthma. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q45","2022","Environment","statement_based","","","hard","static","elimination","","","","conceptual","","","Protected Areas","With reference to 'Gucchi' sometimes mentioned in the news, consider the following statements: 1. It is a fungus. 2. It grows in some Himalayan forest areas. 3. It is commercially cultivated in the Himalayan foothills of north-eastern India. Which of the statements given above is/are correct?",""
"UPSC_2022_GS1_Q52","2022","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Medieval Kingdoms; Modern India Timeline","In medieval India, the term 'Fanam' referred to:",""
"UPSC_2022_GS1_Q53","2022","Current Affairs","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Consider the following freedom fighters: 1. Barindra Kumar Ghosh 2. Jogesh Chandra Chatterjee 3. Rash Behari Bose Who of the above was/were actively associated with the Ghadar Party?",""
"UPSC_2022_GS1_Q55","2022","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Economic History; Modern India Timeline","With reference to Indian history, consider the following texts: 1. Nettipakarana 2. Parishishtaparvan 3. Avadanasataka 4. Trishashtilakshana Mahapurana Which of the above are Jaina texts?",""
"UPSC_2022_GS1_Q59","2022","History","statement_based","","","hard","static","elimination","","","","conceptual","","","Economic History; Modern India Timeline","With reference to Indian history, consider the following statements: 1. The Dutch established their factories/warehouses on the east coast on lands granted to them by Gajapati rulers. 2. Alfonso de Albuquerque captured Goa from the Bijapur Sultanate. 3. The English East India Company established a factory at Madras on a plot of land leased from a representative of the Vijayanagara empire. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q61","2022","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","Monetary Policy; Fiscal Policy; Capital Markets","Consider the following statements: 1. Tight monetary policy of US Federal Reserve could lead to capital flight. 2. Capital flight may increase the interest cost of firms with existing External Commercial Borrowings (ECBs). 3. Devaluation of domestic currency decreases the currency risk associated with ECBs. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q63","2022","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. In India, credit rating agencies are regulated by Reserve Bank of India. 2. The rating agency popularly known as ICRA is a public limited company. 3. Brickwork Ratings is an Indian credit rating agency. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q7","2022","Economy","mcq_standard","","","medium","static","elimination","","","","elimination","","","External Sector","Which of the following activities constitute real sector in the economy? 1. Farmers harvesting their crops 2. Textile mills converting raw cotton into fabrics 3. A commercial bank lending money to a trading company 4. A corporate body issuing Rupee Denominated Bonds overseas Select the correct answer using the code given below:",""
"UPSC_2022_GS1_Q82","2022","Current Affairs","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: 1. Bidibidi is a large refugee settlement in north-western Kenya. 2. Some people who fled from South Sudan civil war live in Bidibidi. 3. Some people who fled from civil war in Somalia live in Dadaab refugee complex in Kenya. Which of the statements given above are correct?",""
"UPSC_2022_GS1_Q89","2022","Environment","statement_based","","","hard","static","elimination","","","","conceptual","","","Protected Areas; Wildlife Protection","With reference to Indian laws about wildlife protection, consider the following statements: 1. Wild animals are the sole property of the government. 2. When a wild animal is declared protected, such animal is entitled for equal protection whether it is found in protected areas or outside. 3. Apprehension of a protected wild animal becoming a danger to human life is sufficient ground for its capture or killing. Which of the statements given above is/are correct?",""
"UPSC_2022_GS1_Q92","2022","History","pair_match","","","medium","static","elimination","","","","conceptual","","","","Consider the following pairs: King - Dynasty 1. Nannuka - Chandela 2. Jayashakti - Paramara 3. Nagabhata II - Gurjara-Pratihara 4. Bhoja - Rashtrakuta How many pairs given above are correctly matched?",""
"UPSC_2022_GS1_Q96","2022","Polity","statement_correct","","","medium","dynamic","elimination","","","","elimination","","","","The Prime Minister recently inaugurated the new Circuit House near Somnath Temple at Veraval. Which of the following statements are correct regarding Somnath Temple? 1. Somnath Temple is one of the Jyotirlinga shrines. 2. A description of Somnath Temple was given by Al-Biruni. 3. Pran Pratishtha of Somnath Temple (installation of the present day temple) was done by President S. Radhakrishnan. Select the correct answer using the code given below:",""
"UPSC_2023_CSAT_Q21","2023","Economy","mcq_standard","","","medium","static","inference","","","","factual","","","Financial Inclusion; Capital Markets; External Sector","Which one of the following statements best reflects the most logical and rational implication conveyed by the passage?",""
"UPSC_2023_GS1_Q10","2023","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","","With reference to India?s projects on connectivity, consider the following statements: East-West Corridor under Golden Quadrilateral Project connects Dibrugarh and Surat. Trilateral Highway connects Moreh in Manipur and Chiang Mai in Thailand via Myanmar. Bangladesh-China-India-Myanmar Economic Corridor connects Varanasi in Uttar Pradesh with Kunming in China. How many of the above statements are correct?",""
"UPSC_2023_GS1_Q14","2023","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Consider the following fauna: Lion-tailed Macaque Malabar Civet Sambar Deer How many of the above are generally nocturnal or most active after sunset?",""
"UPSC_2023_GS1_Q15","2023","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Which of the following organisms perform waggle dance for others of their kin to indicate the direction and the distance to a source of their food?",""
"UPSC_2023_GS1_Q16","2023","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: Some mushrooms have medicinal properties. Some mushrooms have psychoactive properties. Some mushrooms have insecticidal properties. Some mushrooms have bioluminescent properties. How many of the above statements are correct?",""
"UPSC_2023_GS1_Q20","2023","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Carbon Sequestration","Consider the following: Aerosols Foam agents Fire retardants Lubricants In the making of how many of the above are hydrofluorocarbons used?",""
"UPSC_2023_GS1_Q30","2023","Geography","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Consider the following infrastructure sectors: Affordable housing Mass rapid transport Health care Renewable energy On how many of the above does UNOPS Sustainable Investments in Infrastructure and Innovation (S3i) initiative focus for its investments?",""
"UPSC_2023_GS1_Q33","2023","Polity","mcq_standard","","","medium","static","elimination","","","","factual","","","","Which one of the following statements best reflects the Chief purpose of the ?Constitution? of a country?",""
"UPSC_2023_GS1_Q36","2023","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","Election Commission","Consider the following statements: If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent. How many of the above statements are correct?",""
"UPSC_2023_GS1_Q38","2023","Environment","statement_based","","","hard","static","elimination","","","","conceptual","","","Wildlife Protection","Consider the following statements: Once the Central Government notifies an area as a ?Community Reserve? the Chief Wildlife Warden of the State becomes the governing authority of such forest hunting is not allowed in such area people of such area are allowed to collect non-timber forest produce people of such area are allowed traditional agricultural practices How many of the above statements are correct?",""
"UPSC_2023_GS1_Q41","2023","History","mcq_standard","","","medium","static","elimination","","","","factual","","","","In which one of the following regions was Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, located?",""
"UPSC_2023_GS1_Q48","2023","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and a canal-cum-aqueduct several kilometres long from the river to the capital city?",""
"UPSC_2023_GS1_Q50","2023","History","mcq_standard","","","medium","static","elimination","","","","factual","","","Modern India Timeline","By which one of the following Acts was the Governor General of Bengal designated as the Governor General of India?",""
"UPSC_2023_GS1_Q69","2023","Science & Technology","mcq_standard","","","medium","static","elimination","","","","factual","","","","?Aerial metagenomics? best refers to which one of the following situations?",""
"UPSC_2023_GS1_Q70","2023","Science & Technology","mcq_standard","","","medium","static","elimination","","","","factual","","","","?Microsatellite DNA? is used in the case of which one of the following?",""
"UPSC_2023_GS1_Q77","2023","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: According to the Constitution of India, the Central Government has a duty to protect States from internal disturbances. The Constitution of India exempts the States from providing legal counsel to a person being held for preventive detention. According to the Prevention of Terrorism Act, 2002, confession of the accused before the police cannot be used as evidence. How many of the above statements are correct?",""
"UPSC_2023_GS1_Q89","2023","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: The ?Stability and Growth Pact? of the European Union is a treaty that limits the levels of the budgetary deficit of the countries of the European Union makes the countries of the European Union to share their infrastructure facilities enables the countries of the European Union to share their technologies How many of the above statements are correct?",""
"UPSC_2023_GS1_Q9","2023","Geography","statement_based","","","hard","static","elimination","","","","conceptual","","","","Consider the following statements: Amarkantak Hills are at the confluence of Vindhya and Sahyadri Ranges. Biligirirangan Hills constitute the easternmost part of Satpura Range. Seshachalam Hills constitute the southernmost part of Western Ghats. How many of the statements given above are correct?",""
"UPSC_2023_GS1_Q90","2023","Current Affairs","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","International Organizations; Global Summits","Consider the following statements: Recently, all the countries of the United Nations have adopted the first-ever compact for international migration, the ?Global Compact for Safe, Orderly and Regular Migration (GCM)?. The objectives and commitments stated in the GCM are binding on the UN member countries. The GCM addresses internal migration or internally displaced people also in its objectives and commitments. How many of the above statements are correct?",""
"UPSC_2023_GS1_Q99","2023","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Carbon Sequestration","Consider the following heavy industries: Fertilizer plants Oil refineries Steel plants Green hydrogen is expected to play a significant role in decarbonizing how many of the above industries?",""
"UPSC_2024_CSAT_Q1","2024","Environment","statement_correct","","","medium","dynamic","inference","","","","elimination","","","Carbon Sequestration","Which of the following statements best reflect the most logical and rational inferences that can be made from the passage? The current methods of food distribution are solely responsible for the loss and wastage of food. Land productivity is adversely affected by the prevailing trend of food loss and wastage. Reduction in the loss and wastage of food results in lesser carbon footprint. Post-harvest technologies to prevent or reduce the loss and wastage of food are not available. Select the correct answer using the code given below.",""
"UPSC_2024_CSAT_Q62","2024","Economy","mcq_standard","","","medium","static","inference","","","","factual","","","Capital Markets; External Sector","Which one of the following statements best reflects the most logical, rational and practical message implied by the passage?",""
"UPSC_2024_GS1_Q11","2024","Geography","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","","Consider the following airports: 1. Donyi Polo Airport 2. Kushinagar International Airport 3. Vijayawada International Airport In the recent past, which of the above have been constructed as Greenfield projects?",""
"UPSC_2024_GS1_Q13","2024","Geography","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","","Consider the following description: 1. Annual and daily range of temperatures is low. 2. Precipitation occurs throughout the year. 3. Precipitation varies between 50 cm - 250 cm. What is this type of climate?",""
"UPSC_2024_GS1_Q18","2024","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Invasive Species","Consider the following: 1. Carabid beetles 2. Centipedes 3. Flies 4. Termites 5. Wasps Parasitoid species are found in how many of the above kinds of organisms?",""
"UPSC_2024_GS1_Q24","2024","Current Affairs","statement_based","","","hard","dynamic","elimination","","","","conceptual","","","Global Summits","Consider the following statements regarding World Toilet Organization: 1. It is one of the agencies of the United Nations. 2. World Toilet Summit, World Toilet Day and World Toilet College are the initiatives of this organization, to inspire action to tackle the global sanitation crisis. 3. The main focus of its function is to grant funds to the least developed countries and developing countries to achieve the end of open defecation. Which of the statements given above is/are correct?",""
"UPSC_2024_GS1_Q29","2024","Environment","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Invasive Species","Consider the following: 1. Butterflies 2. Fish 3. Frog How many of the above have poisonous species among them?",""
"UPSC_2024_GS1_Q39","2024","Science & Technology","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Energy Technologies","'Membrane Bioreactors' are often discussed in the context of:",""
"UPSC_2024_GS1_Q44","2024","Economy","mcq_standard","","","medium","static","elimination","","","","conceptual","","","Financial Inclusion","Consider the following: 1. Exchange-Traded Funds (ETF) 2. Motor vehicles 3. Currency swap Which of the above is/are considered financial instruments?",""
"UPSC_2024_GS1_Q48","2024","Current Affairs","mcq_standard","","","medium","static","elimination","","","","factual","","","","Which one of the following words/phrases is most appropriately used to denote 'an interoperable network of 3D virtual worlds that can be accessed simultaneously by millions of users, who can exert property rights over virtual items'?",""
"UPSC_2024_GS1_Q53","2024","Economy","statement_based","","","hard","static","elimination","","","","conceptual","","","Inflation Targeting; Monetary Policy; Fiscal Policy","Consider the following statements in respect of the digital rupee: 1. It is a sovereign currency issued by the Reserve Bank of India (RBI) in alignment with its monetary policy. 2. It appears as a liability on the RBI's balance sheet. 3. It is insured against inflation by its very design. 4. It is freely convertible against commercial bank money and cash. Which of the statements given above are correct?",""
"UPSC_2024_GS1_Q54","2024","History","mcq_standard","","","medium","static","elimination","","","","elimination","","","Ancient Polities; Modern India Timeline","With reference to ancient India, Gautama Buddha was generally known by which of the following epithets? 1. Nayaputta 2. Shakyamuni 3. Tathagata Select the correct answer using the code given below:",""
"UPSC_2024_GS1_Q56","2024","History","mcq_standard","","","medium","dynamic","elimination","","","","conceptual","","","Medieval Kingdoms; Modern India Timeline","Who of the following rulers of medieval India gave permission to the Portuguese to build a fort at Bhatkal?",""
"UPSC_2024_GS1_Q6","2024","Geography","mcq_standard","","","medium","static","elimination","","","","factual","","","River Systems","With reference to the Himalayan rivers joining the Ganga downstream of Prayagraj from West to East, which one of the following sequences is correct?",""
"UPSC_2024_GS1_Q61","2024","History","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Who was the Provisional President of the Constituent Assembly before Dr. Rajendra Prasad took over?",""
"UPSC_2024_GS1_Q70","2024","Polity","mcq_standard","","","medium","static","elimination","","","","elimination","","","","The North Eastern Council (NEC) was established by the North Eastern Council Act, 1971. Subsequent to the amendment of NEC Act in 2002, the Council comprises which of the following members? 1. Governor of the Constituent State 2. Chief Minister of the Constituent State 3. Three Members to be nominated by the President of India 4. The Home Minister of India Select the correct answer using the code given below:",""
"UPSC_2024_GS1_Q74","2024","Polity","statement_correct","","","medium","static","elimination","","","","conceptual","","","Emergency Provisions","Which of the following statements are correct about the Constitution of India? 1. Powers of the Municipalities are given in Part IX A of the Constitution. 2. Emergency provisions are given in Part XVIII of the Constitution. 3. Provisions related to the amendment of the Constitution are given in Part XX of the Constitution. Select the answer using the code given below:",""
"UPSC_2024_GS1_Q76","2024","Polity","mcq_standard","","","medium","static","elimination","","","","conceptual","","","","Under which of the following Articles of the Constitution of India, has the Supreme Court of India placed the Right to Privacy?",""
"UPSC_2024_GS1_Q93","2024","Polity","statement_based","","","hard","static","elimination","","","","conceptual","","","","With reference to the Speaker of the Lok Sabha, consider the following statements: While any resolution for the removal of the Speaker of the Lok Sabha is under consideration 1. He/She shall not preside. 2. He/She shall not have the right to speak. 3. He/She shall not be entitled to vote on the resolution in the first instance. Which of the statements given above is/are correct?",""
