"Id","Weight","Total","Priority"
"Emerging Technologies","1","1",""
"Power Sector Reforms","1","1",""
"Mediterranean Region","1","1",""
"Higher Education & Flipped Classroom","1","1",""
"Forced Labour","1","1",""
"Pallava Rulers & Titles","1","1",""
"Devolution & Decentralization","1","1",""
"Scheduled Areas Governance","1","1",""
"FRBM Act","1","1",""
"Equator & Water Bodies","1","1",""
"National Movements & Organizations","1","1",""
"Reservation & Efficiency","1","1",""
"Directive Principles of State Policy","1","1",""
"Climate Action Tracker","1","1",""
"Council of Ministers & 91st Amendment","1","1",""
"Space Exploration & Economy","1","1",""
"UPI International Acceptance","1","1",""
"Kulah-Daran","1","1",""
"Fungi Properties","1","1",""
"Aadhaar APIs","1","1",""
"Dyarchy in India","1","1",""
"National Integration & Civic Responsibility","1","1",""
"ASI & Archaeology in India","1","1",""
"Ghadar Party Associates","1","1",""
"Privacy Rights & State Responsibility","1","1",""
"National Income Accounting","1","1",""
"Climate Finance & Policy","1","1",""
"Chauri Chaura Defence","1","1",""
"Public Health & Productivity","1","1",""
"Agricultural Imports","1","1",""
"Foreign Bank Subsidiaries Rules","1","1",""
"Sterilization Operations","1","1",""
"Wealth & Failure","1","1",""
"Web 3.0","1","1",""
"Climate and Clean Air Coalition","1","1",""
"Ecosystem Valuation","1","1",""
"Deputy Speaker of Lok Sabha","1","1",""
"Home Guards","1","1",""
"Plant vs Animal Cells","1","1",""
"Industrial Disputes Data","1","1",""
"BRSR Reporting","1","1",""
"Urban Development Cooperation","1","1",""
"ATM Network","1","1",""
"Ancient Irrigation Devices","1","1",""
"International Date Line Effect","1","1",""
"Corporate Governance & Investment","1","1",""
"Radar Applications","1","1",""
"Bhakti-Sufi Movements","1","1",""
"Prison Administration","1","1",""
"Urban Waste Management & Drainage","1","1",""
"Due Process of Law","1","1",""
"Volcanic Eruption Products","1","1",""
"Liberty","1","1",""
"Nutrition Programs","1","1",""
"Cobalt ?????????????????????","1","1",""
"Upanishads & Puranas","1","1",""
"GDPR","1","1",""
"Tiger Monitoring Systems","1","1",""
"Carnatic Composers","1","1",""
"Crude Oil Benchmarks","1","1",""
"Corporate Social Responsibility Rules","1","1",""
"Banking Reforms & NPAs","1","1",""
"Goods and Services Tax","1","1",""
"Climate Change & Land Use","1","1",""
"Markets, Welfare & Democracy","1","1",""
"Ethanol Production","1","1",""
"Panchayats","1","1",""
"Forest Cover in India","1","1",""
"Agriculture Dependence & Demography","1","1",""
"Wearable Technology","1","1",""
"Agricultural Productivity","1","1",""
"Tribal Revolts","1","1",""
"Civic Participation & Voting Duty","1","1",""
"Alternative Powertrain Vehicles","1","1",""
"Leisure and Human Progress","1","1",""
"Jain Sects","1","1",""
"Constituent Assembly Leadership","1","1",""
"Agricultural Heritage Systems","1","1",""
"Right to Equality","1","1",""
"Speaker Removal Procedure","1","1",""
"Fort William College","1","1",""
"Household Air Pollution","1","1",""
"Cotton Cultivation Requirements","1","1",""
"Turmeric Production","1","1",""
"Globalization & Economic Sovereignty","1","1",""
"Chief of Defence Staff Roles","1","1",""
"Teesta River System","1","1",""
"Chemical Weathering","1","1",""
"Kisan Credit Card","1","1",""
"Dyarchy","1","1",""
"Sustainable Diets & Resources","1","1",""
"Quality Council of India","1","1",""
"Productive Employment & Inclusion","1","1",""
"Genome Editing & Germline Modification","1","1",""
"UNCLOS Provisions","1","1",""
"State Formation & Features","1","1",""
"Monazite & Rare Earths","1","1",""
"Total Fertility Rate","1","1",""
"Santhal Parganas","1","1",""
"Economic Development vs Growth","1","1",""
"Climate Change & Migration","1","1",""
"India Way Author","1","1",""
"Bhasa Literature","1","1",""
"Ease of Doing Business Index","1","1",""
"Ashokan Administration","1","1",""
"Parasitoid Species","1","1",""
"IAEA Additional Protocol","1","1",""
"Public Sector Banks Governance","1","1",""
"Barren Island Volcano","1","1",""
"Capital Markets Components","1","1",""
"DNA Barcoding","1","1",""
"Economic Liberalization","1","1",""
"Evolutionary Biology","1","1",""
"Petroleum & Natural Gas Regulatory Board","1","1",""
"Choice Overload","1","1",""
"Soil Properties & Salinization","1","1",""
"Obesity & Dieting","1","1",""
"Ancient Land Measurement","1","1",""
"Titanium Minerals","1","1",""
"Solar Water Pump Technology","1","1",""
"Enforcement Agencies","1","1",""
"Quality Standards & Certification","1","1",""
"Inequality & Economic Power","1","1",""
"Environment Protection Act 1986","1","1",""
"Climate Change & Water Resources","1","1",""
"Benami Property Law","1","1",""
"Ordinance Powers","1","1",""
"Prorogation & Dissolution","1","1",""
"Cultural Traditions & Festivals","1","1",""
"Digital Rupee","1","1",""
"Indian Culture","1","1",""
"Mahayana Buddhism Concepts","1","1",""
"Continental Drift Evidence","1","1",""
"Popular Sovereignty","1","1",""
"Writ of Prohibition","1","1",""
"Capital vs Revenue Expenditure","1","1",""
"Indian Cave Sites","1","1",""
"National Food Security Act","1","1",""
"Attorney General of India","1","1",""
"Arctic Geopolitics & Resources","1","1",""
"Judicial Review & Constitutional Amendments","1","1",""
"Middle East Peace Process","1","1",""
"Internet of Things","1","1",""
"Microsatellite DNA Applications","1","1",""
"High-Energy Explosives","1","1",""
"Radiative Cooling & Clouds","1","1",""
"Buddha Epithets","1","1",""
"Ocean Carbon Cycle","1","1",""
"Dancing Girl","1","1",""
"Himalayan Peaks","1","1",""
"Countries with Many Time Zones","1","1",""
"Earth Rotation Shift","1","1",""
"Preamble to the Constitution","1","1",""
"Fertilizer Production & Pricing","1","1",""
"National Investment and Infrastructure Fund","1","1",""
"AR & VR Technologies","1","1",""
"Non-Cooperation Movement","1","1",""
"Mongol Invasions of India","1","1",""
"Longest International Border","1","1",""
"Digital Signatures","1","1",""
"Gandhi Peace Prize Jury","1","1",""
"Ramanuja Philosophy","1","1",""
"Benzene Pollution & Exposure","1","1",""
"Military Coups in Africa","1","1",""
"Foreign Investment & Employment","1","1",""
"Speaker of Lok Sabha","1","1",""
"Anti-Defection Law","1","1",""
"Levant Region","1","1",""
"Janani Suraksha Yojana","1","1",""
"Botanical Pesticides & Sustainable Agriculture","1","1",""
"IRNSS/NavIC","1","1",""
"Gandhi-Irwin Pact","1","1",""
"Geographical Indications & TRIPS","1","1",""
"Self-Respect Movement","1","1",""
"Separation of Judiciary and Executive","1","1",""
"Carbon Nanotubes","1","1",""
"Sangam Literature","1","1",""
"Paleoclimate Change","1","1",""
"Lok Sabha Exclusive Powers","1","1",""
"Indian Squirrels Behavior","1","1",""
"Energy Policy & Climate Transition","1","1",""
"Skill Development","1","1",""
"Constitutional Provisions Mapping","1","1",""
"Isotherms","1","1",""
"Law and Liberty","1","1",""
"Nuclear Security Governance","1","1",""
"Monetary Policy","1","1",""
"Quantum Computing & AI","1","1",""
"Indian Ocean Naval Symposium","1","1",""
"UN International Years","1","1",""
"CRISPR-Cas9","1","1",""
"UAV Capabilities","1","1",""
"Ocean Mean Temperature","1","1",""
"Conflict Zones in West Asia","1","1",""
"Gupta Period Maritime Trade","1","1",""
"Mahayana Buddhism","1","1",""
"Direct Air Capture","1","1",""
"Indian Islands Geography","1","1",""
"Inflation Control","1","1",""
"Habit Formation","1","1",""
"Global Climate Change Alliance","1","1",""
"Bond Market Participants","1","1",""
"Food Prices & Demand","1","1",""
"Legume Family Crops","1","1",""
"Zero Tillage","1","1",""
"Antibiotics & Environmental Pollution","1","1",""
"Decision-Making & Perseverance","1","1",""
"Cornwallis Revenue Settlements","1","1",""
"Seismic Waves","1","1",""
"Structural Change in Employment","1","1",""
"Ancient Ports of South India","1","1",""
"Biofilms","1","1",""
"Inflation Indices","1","1",""
"Communication Technologies","1","1",""
"Synthetic Biology","1","1",""
"Faxian in India","1","1",""
"Gucchi Mushroom","1","1",""
"Subsidiary Alliance","1","1",""
"Crony Capitalism","1","1",""
"Concept of Rights","1","1",""
"Mountain Ranges & Types","1","1",""
"Religious Tolerance & Pluralism","1","1",""
"Greenhouse Effect & Atmospheric Heating","1","1",""
"Digital India Programme","1","1",""
"Writ Jurisdiction","1","1",""
"Indian Military Aircraft Types","1","1",""
"Artificial Intelligence Applications","1","1",""
"G20 Common Framework for Debt","1","1",""
"Federalism","1","1",""
"Animal Tool Use","1","1",""
"Soil Erosion & Food Security","1","1",""
"External Sector Resilience","1","1",""
"Distributed Energy Resources","1","1",""
"Short-range Communication Tech","1","1",""
"Democratic Values","1","1",""
